 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE 
 8163     73      F    11011111                                               
 8164     73      0    11011111                                               
 8165     73      E    11011111                                               
 8166     73      5    11011111                                               
 8167     73      F    11011111                                               
 8168     73      0    11011111                                               
 8169     73      E    11011111                                               
 8170     73      5    11011111                                               
 8171     73      F    11011111                                               
 8172     73      0    11011111                                               
 8173     73      E    11011111                                               
 8174     73      5    11011111                                               
 8175     73      F    11011111                                               
 8176     73      0    11011111                                               
 8177     73      E    11011111                                               
 8178     73      5    11011111                                               
 8179     73      F    11011111                                               
 8180     73      0    11011111                                               
 8181     73      E    11011111                                               
 8182     73      5    11011111                                               
 8183     73      F    11011111                                               
 8184     73      0    11011111                                               
 8185     73      E    11011111                                               
 8186     73      5    11011111                                               
 8187     73      F    11011111                                               
 8188     73      0    11011111                                               
 8189     73      E    11011111                                               
