 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE   
 0000 T   75      4    01110 1111                                             
 0001     74      4    01110 1111                                             
 0002     73      0    01110 1111                                             
 0003     7F      0    01111 1111                                             
 0004     7E      4    01111 1111                                             
 0005     7C      0    01101 1111                                             
 0006     7B      0    01101 1111                                             
 0007     7A      0    01101 1111                                             
 0008     79      0    01101 1111                                             
 0009     78      0    01101 1111                                             
 0010     77      0    01101 1111                                             
 0011     76      0    01101 1111                                             
 0012     75      0    01101 1111                                             
 0013     74      0    01101 1111                                             
 0014     73      0    01101 1111                                             
 0015     7C      F    01101 1111                                             
 0016     7B      F    01101 1111                                             
 0017     7A      F    01101 1111                                             
 0018     79      F    01101 1111                                             
 0019     78      F    01101 1111                                             
 0020     77      F    01101 1111                                             
 0021     76      F    01101 1111                                             
 0022     75      F    01101 1111                                             
 0023     74      F    01101 1111                                             
 0024     73      F    01101 1111                                             
 0025     7C      0    01101 1111                                             
 0026     7B      0    01101 1111                                             
 0027     7A      0    01101 1111                                             
 0028     79      0    01101 1111                                             
 0029     78      0    01101 1111                                             
 0030     77      0    01101 1111                                             
 0031     76      0    01101 1111                                             
 0032     75      0    01101 1111                                             
 0033     74      0    01101 1111                                             
 0034     73      0    01101 1111                                             
 0035     7C      F    01101 1111                                             
 0036     7B      F    01101 1111                                             
 0037     7A      F    01101 1111                                             
 0038     79      F    01101 1111                                             
 0039     78      F    01101 1111                                             
 0040     77      F    01101 1111                                             
 0041     76      F    01101 1111                                             
 0042     75      F    01101 1111                                             
 0043     74      F    01101 1111                                             
 0044     73      F    01101 1111                                             
 0045     7C      0    01101 1111                                             
 0046     7B      F    01101 1111                                             
 0047     7A      F    01101 1111                                             
 0048     79      F    01101 1111                                             
 0049     78      F    01101 1111                                             
 0050     77      F    01101 1111                                             
 0051     76      F    01101 1111                                             
 0052     75      F    01101 1111                                             
 0053     74      F    01101 1111                                             
 0054     73      0    01101 1111                                             
 0055     7C      0    01101 1111                                             
 0056     7B      0    01101 1111                                             
 0057     7A      0    01101 1111                                             
 0058     79      0    01101 1111                                             
