 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE    
 0000 T   75      4    101110 1111                                            
 0001     74      0    101110 1111                                            
 0002     7F      6    101111 1111                                            
 0003     7F      6    101111 1111                                            
 0004     7F      6    101111 1111                                            
 0005     7E      4    101111 1111                                            
 0006     7C      0    101001 1111                                            
 0007     7B      0    101001 1111                                            
 0008     7A      0    101001 1111                                            
 0009     79      0    101001 1111                                            
 0010     78      0    101001 1111                                            
 0011     77      0    101001 1111                                            
 0012     76      0    101001 1111                                            
 0013     75      0    101001 1111                                            
 0014     74      0    101001 1111                                            
 0015     73      0    101001 1111                                            
 0016     7C      F    101101 1111                                            
 0017     7B      F    101101 1111                                            
 0018     7A      F    101101 1111                                            
 0019     79      F    101101 1111                                            
 0020     78      F    101101 1111                                            
 0021     77      F    101101 1111                                            
 0022     76      F    101101 1111                                            
 0023     75      F    101101 1111                                            
 0024     74      F    101101 1111                                            
 0025     73      F    101101 1111                                            
 0026     7C      0    101101 1111                                            
 0027     7B      0    101101 1111                                            
 0028     7A      0    101101 1111                                            
 0029     79      0    101101 1111                                            
 0030     78      0    101101 1111                                            
 0031     77      0    101101 1111                                            
 0032     76      0    101101 1111                                            
 0033     75      0    101101 1111                                            
 0034     74      0    101101 1111                                            
 0035     73      0    101001 1111                                            
 0036     7C      F    101001 1111                                            
 0037     7B      F    101001 1111                                            
 0038     7A      F    101001 1111                                            
 0039     79      F    101001 1111                                            
 0040     78      F    101001 1111                                            
 0041     77      F    101001 1111                                            
 0042     76      F    101001 1111                                            
 0043     75      F    101001 1111                                            
 0044     74      F    101001 1111                                            
 0045     73      F    101001 1111                                            
 0046     7C      0    101101 1111                                            
 0047     7B      F    101101 1111                                            
 0048     7A      F    101101 1111                                            
 0049     79      F    101101 1111                                            
 0050     78      F    101101 1111                                            
 0051     77      F    101101 1111                                            
 0052     76      F    101101 1111                                            
 0053     75      F    101101 1111                                            
 0054     74      F    101101 1111                                            
 0055     73      6    101101 1111                                            
 0056     7C      0    101001 1111                                            
 0057     7B      0    101001 1111                                            
 0058     7A      0    101001 1111                                            
 0059     79      0    101001 1111                                            
 0060     78      0    101001 1111                                            
 0061     77      0    101001 1111                                            
 0062     76      0    101001 1111                                            
 0063     75      0    101001 1111                                            
 0064     74      0    101001 1111                                            
 0065     73      0    101001 1111                                            
 0066     7D      F    101011 1111                                            
 0067     7C      F    101011 1111                                            
 0068     7E      3    101010 1111                                            
 0069     7D      B    101010 1111                                            
 0070     7C      B    101010 1111                                            
 0071     7B      F    101010 1111                                            
 0072     7A      F    101010 1111                                            
 0073     79      F    101010 1111                                            
 0074     78      F    101010 1111                                            
 0075     77      F    101010 1111                                            
 0076     76      F    101010 1111                                            
 0077     75      F    101010 1111                                            
 0078     74      F    101010 1111                                            
 0079     73      6    101010 1111                                            
 0080     7E      0    101110 1111                                            
 0081     7D      0    101110 1111                                            
 0082     7C      0    101110 1111                                            
 0083     7B      0    101110 1111                                            
 0084     7A      0    101110 1111                                            
 0085     78      0    101110 1111                                            
 0086     78      0    101110 1111                                            
 0087     78      0    101110 1111                                            
 0088     77      0    101110 1111                                            
 0089     76      0    101110 1111                                            
 0090     75      0    101110 1111                                            
 0091     74      0    101110 1111                                            
 0092     73      0    101110 1111                                            
 0093     7E      B    101101 1111                                            
 0094     7D      B    101101 1111                                            
 0095     7C      B    101001 1111                                            
 0096     7B      F    101001 1111                                            
 0097     7A      F    101001 1111                                            
 0098     79      F    101001 1111                                            
 0099     78      F    101001 1111                                            
 0100     77      F    101001 1111                                            
 0101     76      F    101001 1111                                            
 0102     75      F    101001 1111                                            
 0103     74      F    101001 1111                                            
 0104     73      F    101001 1111                                            
 0105     7E      0    101001 1111                                            
 0106     7D      0    101001 1111                                            
 0107     7C      0    101001 1111                                            
 0108     7B      0    101001 1111                                            
 0109     7A      0    101001 1111                                            
 0110     79      0    101101 1111                                            
 0111     78      0    101101 1111                                            
 0112     77      0    101101 1111                                            
 0113     76      0    101101 1111                                            
 0114     74      0    101101 1111                                            
 0115     74      0    101101 1111                                            
 0116     74      0    101101 1111                                            
 0117     73      0    101101 1111                                            
 0118     74      E    101110 1111                                            
 0119     74      5    101110 1111                                            
 0120     74      F    101110 1111                                            
 0121     74      0    101010 1111                                            
 0122     74      E    101110 1111                                            
 0123     74      5    101010 1111                                            
 0124     74      F    101010 1111                                            
 0125     74      0    101010 1111                                            
 0126     74      E    101010 1111                                            
 0127     74      5    101010 1111                                            
 0128     74      F    101010 1111                                            
 0129     74      0    101010 1111                                            
 0130     74      E    101010 1111                                            
 0131     74      5    101010 1111                                            
 0132     74      F    101010 1111                                            
 0133     74      0    101010 1111                                            
 0134     74      E    101010 1111                                            
 0135     74      5    101010 1111                                            
 0136     74      F    101010 1111                                            
 0137     74      0    101010 1111                                            
 0138     74      E    101010 1111                                            
 0139     74      5    101010 1111                                            
 0140     74      F    101010 1111                                            
 0141     00      F    000000 0000                                            
 0142     00      F    000000 0000                                            
 0143     00      F    000000 0000                                            
 0144     00      F    000000 0000                                            
 0145     00      F    000000 0000                                            
 0146     00      F    000000 0000                                            
 0147     00      F    000000 0000                                            
 0148     00      F    000000 0000                                            
 0149     00      F    000000 0000                                            
