 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE    
 0000 T   74      F    101010 1111                                            
 0001     74      0    101010 1111                                            
 0002     74      E    101010 1111                                            
 0003     74      5    101010 1111                                            
 0004     74      F    101010 1111                                            
 0005     74      0    101110 1111                                            
 0006     74      E    101010 1111                                            
 0007     74      5    101110 1111                                            
 0008     74      F    101010 1111                                            
 0009     74      0    101110 1111                                            
 0010     74      E    101010 1111                                            
 0011     74      5    101110 1111                                            
 0012     74      F    101010 1111                                            
 0013     74      0    101110 1111                                            
 0014     74      E    101010 1111                                            
 0015     74      5    101110 1111                                            
 0016     74      F    101110 1111                                            
 0017     74      0    101110 1111                                            
 0018     74      E    101110 1111                                            
 0019     74      5    101110 1111                                            
 0020     74      F    101110 1111                                            
 0021     74      0    101110 1111                                            
 0022     74      E    101110 1111                                            
 0023     74      5    101110 1111                                            
 0024     74      F    101110 1111                                            
 0025     74      0    101110 1111                                            
 0026     74      E    101110 1111                                            
 0027     74      5    101110 1111                                            
 0028     74      F    101110 1111                                            
 0029     74      0    101110 1111                                            
 0030     74      E    101110 1111                                            
 0031     00      F    000000 0000                                            
 0032     00      F    000000 0000                                            
 0033     00      F    000000 0000                                            
 0034     00      F    000000 0000                                            
 0035     00      F    000000 0000                                            
 0036     00      F    000000 0000                                            
 0037     00      F    000000 0000                                            
 0038     00      F    000000 0000                                            
 0039     00      F    000000 0000                                            
 0040     00      F    000000 0000                                            
 0041     00      F    000000 0000                                            
 0042     00      F    000000 0000                                            
 0043     00      F    000000 0000                                            
 0044     00      F    000000 0000                                            
 0045     00      F    000000 0000                                            
 0046     00      F    000000 0000                                            
 0047     00      F    000000 0000                                            
 0048     00      F    000000 0000                                            
 0049     00      F    000000 0000                                            
 0050     00      F    000000 0000                                            
 0051     00      F    000000 0000                                            
 0052     00      F    000000 0000                                            
 0053     00      F    000000 0000                                            
 0054     00      F    000000 0000                                            
 0055     00      F    000000 0000                                            
 0056     00      F    000000 0000                                            
 0057     00      F    000000 0000                                            
 0058     00      F    000000 0000                                            
 0059     00      F    000000 0000                                            
 0060     00      F    000000 0000                                            
 0061     00      F    000000 0000                                            
 0062     00      F    000000 0000                                            
 0063     00      F    000000 0000                                            
 0064     00      F    000000 0000                                            
 0065     00      F    000000 0000                                            
 0066     00      F    000000 0000                                            
 0067     00      F    000000 0000                                            
 0068     00      F    000000 0000                                            
 0069     00      F    000000 0000                                            
 0070     00      F    000000 0000                                            
 0071     00      F    000000 0000                                            
 0072     00      F    000000 0000                                            
 0073     00      F    000000 0000                                            
 0074     00      F    000000 0000                                            
 0075     00      F    000000 0000                                            
 0076     00      F    000000 0000                                            
 0077     00      F    000000 0000                                            
 0078     00      F    000000 0000                                            
 0079     00      F    000000 0000                                            
 0080     00      F    000000 0000                                            
 0081     00      F    000000 0000              
