a,b = C, D
a,b = E, F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
CMD  01 -> 0
CMD  02 -> 0
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
                                    ra=-
CMD  00 -> 0
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
CMD  01 -> C
CMD  02 -> 0
                                    ra=3
CMD  03 -> 3
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 <- 0
DATA 01 <- C
DATA 02 <- 0
DATA 03 <- 3
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
CMD  01 -> C
CMD  02 -> 0
                                    ra=0
CMD  03 -> 0
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
DATA 01 <- 0
DATA 02 <- 0
DATA 03 <- 0
DATA 04 <- 0
DATA 05 <- 0
DATA 06 <- 0
DATA 07 <- 0
DATA 08 <- 0
DATA 09 <- 0
DATA 0A <- 0
DATA 0B <- 0
DATA 0C <- 0
DATA 00 -> F
DATA 00 -> F
DATA 00 -> F
CMD  01 -> C
CMD  02 -> 0
                                    ra=4
CMD  03 -> 4
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 01 <- 0
DATA 02 <- 0
DATA 03 <- 0
DATA 04 <- 0
DATA 05 <- 0
DATA 06 <- 0
DATA 07 <- 0
DATA 08 <- 0
DATA 09 <- 0
DATA 0A <- 0
DATA 0B <- 0
DATA 0C <- 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
DATA 00 -> 0
