a,b = C, D
a,b = E, F
                                    ra=-
???? 00 <- 1

CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F

CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0

CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 5
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 5
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 5
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 5
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 5
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 5
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- F
CMD  05 -> 9
CMD  06 -> 4
DATA 09 <- 0
CMD  01 -> 0
CMD  02 -> 0
DATA 09 <- E
CMD  05 -> 9
CMD  06 -> 4
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
CMD  0F <- F
