 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 0001     01      C    1   1        11111111 1111                             
 0003     02      0    1   1        11111111 1111                             
 0005     03      3    1   1        11111111 1111                             

 0007     00      0    1   1        11111111 1111                             
 0009     01      C    1   1        11111111 1111                             
 0011     02      0    1   1        11111111 1111                             
 0013     03      3    1   1        11111111 1111
 
 0015     01      C    1   1        11111111 1111                             
 0017     02      0    1   1        11111111 1111                             
 0019     03      0    1   1        11111111 1111
 
 0021     01      0    1   1        11111111 1111                             
 0023     02      0    1   1        11111111 1111                             
 0025     03      0    1   1        11111111 1111                             
 0027     04      0    1   1        11111111 1111                             
 0029     05      0    1   1        11111111 1111                             
 0031     06      0    1   1        11111111 1111                             
 0033     07      0    1   1        11111111 1111                             
 0035     08      0    1   1        11111111 1111                             
 0037     09      0    1   1        11111111 1111                             
 0039     0A      0    1   1        11111111 1111                             
 0041     0B      0    1   1        11111111 1111                             
 0043     0C      0    1   1        11111111 1111
 
 0045     01      C    1   1        11111111 1111                             
 0047     02      0    1   1        11111111 1111                             
 0049     03      4    1   1        11111111 1111
 
 0051     01      0    1   1        11111111 1111                             
 0053     02      0    1   1        11111111 1111                             
 0055     03      0    1   1        11111111 1111                             
 0057     04      0    1   1        11111111 1111                             
 0059     05      0    1   1        11111111 1111                             
 0061     06      0    1   1        11111111 1111                             
 0063     07      0    1   1        11111111 1111                             
 0065     08      0    1   1        11111111 1111                             
 0067     09      0    1   1        11111111 1111                             
 0069     0A      0    1   1        11111111 1111                             
 0071     0B      0    1   1        11111111 1111                             
 0073     0C      0    1   1        11111111 1111
 
 0075     00      0    1   1        11111111 1111                             
 0077     03      0    1   1        11111111 1111                             
 0079     04      0    1   1        11111111 1111                             
 0081     05      8    1   1        11111111 1111                             
 0083     07      F    1   1        11111111 1111
 
 0085     00      8    1   1        11111111 1111                             
 0087     00      0    1   1        11111111 1111                             
 0089     05      F    1   1        11111111 1111                             
 0091     0B      F    1   1        11111111 1111                             
 0093     03      0    1   1        11111111 1111                             
 0095     04      0    1   1        11111111 1111                             
 0097     05      9    1   1        11111111 1111                             
 0099     0F      F    1   1        11111111 1111                             
 0101     03      4    1   1        11111111 1111                             
 0103     04      0    1   1        11111111 1111                             
 0105     05      8    1   1        11111111 1111                             
 0107     03      C    1   1        11111111 1111                             
 0109     03      0    1   1        11111111 1111                             
 0111     04      0    1   1        11111111 1111                             
 0113     05      0    1   1        11111111 1111                             
 0115     06      0    1   1        11111111 1111                             
 0117     07      0    1   1        11111111 1111                             
 0119     08      0    1   1        11111111 1111                             
 0121     09      0    1   1        11111111 1111                             
 0123     0A      0    1   1        11111111 1111                             
 0125     0B      0    1   1        11111111 1111                             
 0127     0C      0    1   1        11111111 1111                             
 0129     03      D    1   1        11111111 1111                             
 0131     03      F    1   1        11111111 1111                             
 0133     04      F    1   1        11111111 1111                             
 0135     05      F    1   1        11111111 1111                             
 0137     06      F    1   1        11111111 1111                             
 0139     07      F    1   1        11111111 1111                             
 0141     08      F    1   1        11111111 1111                             
 0143     09      F    1   1        11111111 1111                             
 0145     0A      F    1   1        11111111 1111                             
 0147     0B      F    1   1        11111111 1111                             
