Clocked by phi2
Qualified by CE for LCD controller

Looks like only secodn clock pulse is valid data so removed invalid


STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE      
 0001     03      4    1   1        11111111 1111                             
 0003     04      0    1   1        11111111 1111                             
 0005     05      8    1   1        11111111 1111                             
 0007     03      C    1   1        11111111 1111                             
 0009     03      0    1   1        11111111 1111                             
 0011     04      0    1   1        11111111 1111                             
 0013     05      0    1   1        11111111 1111                             
 0015     06      0    1   1        11111111 1111                             
 0017     07      0    1   1        11111111 1111                             
 0019     08      0    1   1        11111111 1111                             
 0021     09      0    1   1        11111111 1111                             
 0023     0A      0    1   1        11111111 1111                             
 0025     0B      0    1   1        11111111 1111                             
 0027     0C      0    1   1        11111111 1111                             
 0029     03      D    1   1        11111111 1111                             
 0031     03      F    1   1        11111111 1111                             
 0033     04      F    1   1        11111111 1111                             
 0035     05      F    1   1        11111111 1111                             
 0037     06      F    1   1        11111111 1111                             
 0039     07      F    1   1        11111111 1111                             
 0041     08      F    1   1        11111111 1111                             
 0043     09      F    1   1        11111111 1111                             
 0045     0A      F    1   1        11111111 1111                             
 0047     0B      F    1   1        11111111 1111                             
 0049     0C      F    1   1        11111111 1111                             
 0051     03      E    1   1        11111111 1111                             
 0053     03      0    1   1        11111111 1111                             
 0055     04      0    1   1        11111111 1111                             
 0057     05      0    1   1        11111111 1111                             
 0059     06      0    1   1        11111111 1111                             
 0061     07      0    1   1        11111111 1111                             
 0063     08      0    1   1        11111111 1111                             
 0065     09      0    1   1        11111111 1111                             
 0067     0A      0    1   1        11111111 1111                             
 0069     0B      0    1   1        11111111 1111                             
 0071     0C      0    1   1        11111111 1111                             
 0073     03      F    1   1        11111111 1111                             
 0075     03      F    1   1        11111111 1111                             
 0077     04      F    1   1        11111111 1111                             
 0079     05      F    1   1        11111111 1111                             
 0081     06      F    1   1        11111111 1111                             
 0083     07      F    1   1        11111111 1111                             
 0085     08      F    1   1        11111111 1111                             
 0087     09      F    1   1        11111111 1111                             
 0089     0A      F    1   1        11111111 1111                             
 0091     0B      F    1   1        11111111 1111                             
 0093     0C      F    1   1        11111111 1111                             
 0095     03      D    1   1        11111111 1111                             
 0097     04      0    1   1        11111111 1111                             
 0099     05      8    1   1        11111111 1111                             
 0101     03      C    1   1        11111111 1111                             
 0103     03      0    1   1        11111111 1111                             
 0105     04      0    1   1        11111111 1111                             
 0107     05      0    1   1        11111111 1111                             
 0109     06      0    1   1        11111111 1111                             
 0111     07      0    1   1        11111111 1111                             
 0113     08      0    1   1        11111111 1111                             
 0115     09      0    1   1        11111111 1111                             
 0117     0A      0    1   1        11111111 1111                             
 0119     0B      0    1   1        11111111 1111                             
