 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0000 T   0A      9    1   11111101 1111                                      
 0001     0B      0    1   11111101 1111                                      
 0002     0C      1    1   11111101 1111                                      
 0003     00      0    1   11111111 1111                                      
 0004     00      0    1   11111111 1111                                      
 0005     01      4    1   00111111 1111                                      
 0006     03      0    0   00111110 1111                                      
 0007     04      0    0   00111110 1111                                      
 0008     05      0    0   00111110 1111                                      
 0009     06      0    0   00111110 1111                                      
 0010     07      0    0   00111110 1111                                      
 0011     08      0    0   00111110 1111                                      
 0012     09      0    0   00111110 1111                                      
 0013     0A      0    0   11111110 1111                                      
 0014     0B      0    0   11111110 1111                                      
 0015     0C      0    0   11111110 1111                                      
 0016     03      F    0   11111110 1111                                      
 0017     04      F    0   11111110 1111                                      
 0018     05      F    0   11111110 1111                                      
 0019     06      F    0   11111110 1111                                      
 0020     07      F    0   11111110 1111                                      
 0021     08      F    0   11111110 1111                                      
 0022     09      F    0   11111110 1111                                      
 0023     0A      F    0   11111110 1111                                      
 0024     0B      F    0   11111110 1111                                      
 0025     0C      F    0   11111110 1111                                      
 0026     03      0    0   11111110 1111                                      
 0027     04      0    0   11111110 1111                                      
 0028     05      0    0   11111110 1111                                      
 0029     06      0    0   11111110 1111                                      
 0030     07      0    0   11111110 1111                                      
 0031     08      0    0   11111110 1111                                      
 0032     09      0    0   00111110 1111                                      
 0033     0A      0    0   00111110 1111                                      
 0034     0B      0    0   00111110 1111                                      
 0035     0C      0    0   00111110 1111                                      
 0036     03      F    0   00111110 1111                                      
 0037     04      F    0   00111110 1111                                      
 0038     05      F    0   00111110 1111                                      
 0039     06      F    0   00111110 1111                                      
 0040     07      F    0   00111110 1111                                      
 0041     08      F    0   00111110 1111                                      
 0042     09      F    0   00111110 1111                                      
 0043     0A      F    0   00111110 1111                                      
 0044     0B      F    0   00111110 1111                                      
 0045     0C      F    0   00111110 1111                                      
 0046     03      F    0   11111110 1111                                      
 0047     04      F    0   11111110 1111                                      
 0048     05      F    0   11111110 1111                                      
 0049     06      F    0   11111110 1111                                      
 0050     07      F    0   11111110 1111                                      
 0051     08      F    0   11111110 1111                                      
 0052     09      F    0   11111110 1111                                      
 0053     0A      F    0   11111110 1111                                      
 0054     0B      F    0   11111110 1111                                      
 0055     0C      0    0   11111110 1111                                      
 0056     03      0    0   00111110 1111                                      
 0057     04      0    0   00111110 1111                                      
 0058     05      0    0   00111110 1111                                      
 0059     06      0    0   00111110 1111                                      
 0060     07      0    0   00111110 1111                                      
 0061     08      0    0   00111110 1111                                      
 0062     09      0    0   00111110 1111                                      
 0063     0A      0    0   00111110 1111                                      
 0064     0B      0    0   00111110 1111                                      
 0065     0C      4    0   00111110 1111                                      
 0066     02      F    1   00111111 1111                                      
 0067     03      F    1   00111111 1111                                      
 0068     01      B    1   00111101 1111                                      
 0069     02      B    1   00111101 1111                                      
 0070     03      F    1   00111101 1111                                      
 0071     04      F    1   00111101 1111                                      
 0072     05      F    1   00111101 1111                                      
 0073     06      F    1   00111101 1111                                      
 0074     07      F    1   00111101 1111                                      
 0075     08      F    1   00111101 1111                                      
 0076     09      F    1   00111101 1111                                      
 0077     0A      F    1   00111101 1111                                      
 0078     0B      F    1   00111101 1111                                      
 0079     0C      0    1   00111101 1111                                      
 0080     01      0    1   11111101 1111                                      
 0081     01      0    1   11111101 1111                                      
 0082     02      0    1   11111101 1111                                      
 0083     03      0    1   11111101 1111                                      
 0084     04      0    1   11111101 1111                                      
 0085     05      0    1   11111101 1111                                      
 0086     06      8    1   11111101 1111                                      
 0087     07      0    1   11111101 1111                                      
 0088     08      0    1   11111101 1111                                      
 0089     09      0    1   11111101 1111                                      
 0090     0A      0    1   11111101 1111                                      
 0091     0B      0    1   11111101 1111                                      
 0092     0C      4    1   11111101 1111                                      
 0093     01      B    0   00111110 1111                                      
 0094     02      B    0   00111110 1111                                      
 0095     03      F    0   00111110 1111                                      
 0096     04      F    0   00111110 1111                                      
 0097     05      F    0   00111110 1111                                      
 0098     06      F    0   00111110 1111                                      
 0099     07      F    0   00111110 1111                                      
 0100     08      F    0   00111110 1111                                      
 0101     09      F    0   00111110 1111                                      
 0102     0A      F    0   00111110 1111                                      
 0103     0B      F    0   00111110 1111                                      
 0104     0C      F    0   00111110 1111                                      
 0105     01      0    0   00111110 1111                                      
 0106     02      0    0   00111110 1111                                      
 0107     03      0    0   11111110 1111                                      
 0108     04      0    0   11111110 1111                                      
 0109     05      0    0   11111110 1111                                      
 0110     06      0    0   11111110 1111                                      
 0111     07      0    0   11111110 1111                                      
 0112     08      0    0   11111110 1111                                      
 0113     09      0    0   11111110 1111                                      
 0114     0A      8    0   11111110 1111                                      
 0115     0B      0    0   11111110 1111                                      
 0116     0C      0    0   11111110 1111                                      
 0117     0B      E    1   11111101 1111                                      
 0118     0B      5    1   11111101 1111                                      
 0119     0B      F    1   00111101 1111                                      
 0120     0B      0    1   00111101 1111                                      
 0121     0B      0    1   00111101 1111                                      
 0122     0B      E    1   00111101 1111                                      
 0123     0B      5    1   00111101 1111                                      
 0124     0B      F    1   00111101 1111                                      
 0125     0B      0    1   00111101 1111                                      
 0126     0B      0    1   00111101 1111                                      
 0127     0A      5    1   11111101 1111                                      
 0128     0B      3    1   11111101 1111                                      
 0129     0C      1    1   11111101 1111                                      
 0130     02      1    1   11111111 1111                                      
 0131     03      4    1   11111111 1111                                      
 0132     03      F    0   11111110 1111                                      
 0133     04      F    0   11111110 1111                                      
 0134     05      F    0   11111110 1111                                      
 0135     06      F    0   11111110 1111                                      
 0136     07      F    0   11111110 1111                                      
 0137     08      F    0   11111110 1111                                      
 0138     09      F    0   11111110 1111                                      
 0139     0A      F    0   11111110 1111                                      
 0140     0B      1    0   11111110 1111                                      
 0141     0B      1    0   11111110 1111                                      
 0142     0C      0    0   11111110 1111                                      
 0143     03      0    0   00111110 1111                                      
 0144     04      0    0   00111110 1111                                      
 0145     05      0    0   00111110 1111                                      
 0146     06      0    0   00111110 1111                                      
 0147     07      0    0   00111110 1111                                      
 0148     08      0    0   00111110 1111                                      
 0149     09      0    0   00111110 1111                                      
 0150     0A      0    0   00111110 1111                                      
 0151     0B      4    0   00111110 1111                                      
 0152     0C      4    0   00111110 1111                                      
 0153     04      F    1   00111111 1111                                      
 0154     05      F    1   00111111 1111                                      
 0155     01      B    1   00111101 1111                                      
 0156     02      B    1   00111101 1111                                      
 0157     03      F    1   00111101 1111                                      
 0158     04      F    1   00111101 1111                                      
 0159     05      F    1   00111101 1111                                      
 0160     06      F    1   00111101 1111                                      
 0161     07      F    1   00111101 1111                                      
 0162     08      F    1   00111101 1111                                      
 0163     09      F    1   00111101 1111                                      
 0164     0A      F    1   00111101 1111                                      
 0165     0B      1    1   00111101 1111                                      
 0166     0C      0    1   00111101 1111                                      
 0167     01      0    1   00111101 1111                                      
 0168     02      0    1   11111101 1111                                      
 0169     03      0    1   11111101 1111                                      
 0170     04      0    1   11111101 1111                                      
 0171     05      0    1   11111101 1111                                      
 0172     06      8    1   11111101 1111                                      
 0173     07      0    1   11111101 1111                                      
 0174     08      0    1   11111101 1111                                      
 0175     09      0    1   11111101 1111                                      
 0176     0A      0    1   11111101 1111                                      
 0177     0B      4    1   11111101 1111                                      
 0178     0C      4    1   11111101 1111                                      
 0179     01      B    0   11111110 1111                                      
 0180     02      B    0   11111110 1111                                      
 0181     03      F    0   11111110 1111                                      
 0182     04      F    0   11111110 1111                                      
 0183     05      F    0   11111110 1111                                      
 0184     06      F    0   00111110 1111                                      
 0185     07      F    0   00111110 1111                                      
 0186     08      F    0   00111110 1111                                      
 0187     09      F    0   00111110 1111                                      
 0188     0A      F    0   00111110 1111                                      
 0189     0B      F    0   00111110 1111                                      
 0190     0C      F    0   00111110 1111                                      
 0191     01      0    0   00111110 1111                                      
 0192     02      0    0   00111110 1111                                      
 0193     03      0    0   00111110 1111                                      
 0194     04      0    0   00111110 1111                                      
 0195     05      0    0   00111110 1111                                      
 0196     06      0    0   00111110 1111                                      
 0197     07      0    0   00111110 1111                                      
 0198     08      0    0   00111110 1111                                      
 0199     09      0    0   11111110 1111                                      
 0200     0A      8    0   11111110 1111                                      
 0201     0B      0    0   11111110 1111                                      
 0202     0C      0    0   11111110 1111                                      
 0203     0A      E    1   11111101 1111                                      
 0204     0A      5    1   11111101 1111                                      
 0205     0A      F    1   11111101 1111                                      
 0206     0A      0    1   11111101 1111                                      
 0207     0A      0    1   11111101 1111                                      
 0208     0A      4    1   00111101 1111                                      
 0209     0B      6    1   00111101 1111                                      
 0210     0C      0    1   00111101 1111                                      
 0211     04      2    1   00111111 1111                                      
 0212     05      4    1   00111111 1111                                      
 0213     03      F    0   00111110 1111                                      
 0214     04      F    0   00111110 1111                                      
 0215     05      F    0   00111110 1111                                      
 0216     06      F    0   00111110 1111                                      
 0217     07      F    0   00111110 1111                                      
 0218     08      F    0   00111110 1111                                      
 0219     09      F    0   00111110 1111                                      
 0220     0A      2    0   00111110 1111                                      
 0221     0A      2    0   00111110 1111                                      
 0222     0B      1    0   00111110 1111                                      
 0223     0C      0    0   00111110 1111                                      
 0224     03      0    0   11111110 1111                                      
 0225     04      0    0   11111110 1111                                      
 0226     05      0    0   11111110 1111                                      
 0227     06      0    0   11111110 1111                                      
 0228     07      0    0   11111110 1111                                      
 0229     08      0    0   11111110 1111                                      
 0230     09      0    0   11111110 1111                                      
 0231     0A      4    0   11111110 1111                                      
 0232     0B      4    0   11111110 1111                                      
 0233     0C      4    0   11111110 1111                                      
 0234     06      F    1   11111111 1111                                      
 0235     07      F    1   11111111 1111                                      
 0236     01      B    1   11111101 1111                                      
 0237     02      B    1   11111101 1111                                      
 0238     03      F    1   11111101 1111                                      
 0239     04      F    1   11111101 1111                                      
 0240     05      F    1   11111101 1111                                      
 0241     06      F    1   11111101 1111                                      
 0242     07      F    1   11111101 1111                                      
 0243     08      F    1   11111101 1111                                      
 0244     09      F    1   11111101 1111                                      
 0245     0A      2    1   11111101 1111                                      
 0246     0B      1    1   11111101 1111                                      
 0247     0C      0    1   11111101 1111                                      
 0248     01      0    1   00111101 1111                                      
 0249     02      0    1   00111101 1111                                      
 0250     03      0    1   00111101 1111                                      
 0251     04      0    1   00111101 1111                                      
 0252     05      0    1   00111101 1111                                      
 0253     06      8    1   00111101 1111                                      
 0254     07      0    1   00111101 1111                                      
 0255     08      0    1   00111101 1111                                      
 0256     09      0    1   00111101 1111                                      
 0257     0A      4    1   00111101 1111                                      
 0258     0B      4    1   00111101 1111                                      
 0259     0C      4    1   00111101 1111                                      
 0260     01      B    0   00111110 1111                                      
 0261     02      B    0   00111110 1111                                      
 0262     03      F    0   00111110 1111                                      
 0263     04      F    0   11111110 1111                                      
 0264     05      F    0   11111110 1111                                      
 0265     06      F    0   11111110 1111                                      
 0266     07      F    0   11111110 1111                                      
 0267     08      F    0   11111110 1111                                      
 0268     09      F    0   11111110 1111                                      
 0269     0A      F    0   11111110 1111                                      
 0270     0B      F    0   11111110 1111                                      
 0271     0C      F    0   11111110 1111                                      
 0272     01      0    0   11111110 1111                                      
 0273     02      0    0   11111110 1111                                      
 0274     03      0    0   11111110 1111                                      
 0275     04      0    0   11111110 1111                                      
 0276     05      0    0   11111110 1111                                      
 0277     06      0    0   11111110 1111                                      
 0278     07      0    0   00111110 1111                                      
 0279     08      0    0   00111110 1111                                      
 0280     09      0    0   00111110 1111                                      
