 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0000 T   0A      2    1   11111101 1111                                      
 0001     0B      7    1   11111101 1111                                      
 0002     0C      0    1   11111101 1111                                      
 0003     01      B    1   00111101 1111                                      
 0004     02      B    1   00111101 1111                                      
 0005     03      F    1   00111101 1111                                      
 0006     04      F    1   00111101 1111                                      
 0007     05      0    1   00111101 1111                                      
 0008     06      F    1   00111101 1111                                      
 0009     07      F    1   00111101 1111                                      
 0010     08      8    1   11111101 1111                                      
 0011     08      8    1   11111101 1111                                      
 0012     09      3    1   11111101 1111                                      
 0013     0A      0    1   11111101 1111                                      
 0014     0B      4    1   11111101 1111                                      
 0015     0C      1    1   11111101 1111                                      
 0016     01      0    1   11111101 1111                                      
 0017     02      0    1   11111101 1111                                      
 0018     03      0    1   11111101 1111                                      
 0019     04      0    1   11111101 1111                                      
 0020     05      3    1   11111101 1111                                      
 0021     06      C    1   11111101 1111                                      
 0022     07      0    1   11111101 1111                                      
 0023     08      5    1   11111101 1111                                      
 0024     09      4    1   11111101 1111                                      
 0025     0A      4    1   11111101 1111                                      
 0026     0B      4    1   00111101 1111                                      
 0027     0C      5    1   00111101 1111                                      
 0028     01      A    0   00111110 1111                                      
 0029     02      B    0   00111110 1111                                      
 0030     03      F    0   00111110 1111                                      
 0031     04      F    0   00111110 1111                                      
 0032     05      F    0   00111110 1111                                      
 0033     06      F    0   00111110 1111                                      
 0034     07      F    0   00111110 1111                                      
 0035     08      F    0   00111110 1111                                      
 0036     09      F    0   00111110 1111                                      
 0037     0A      F    0   00111110 1111                                      
 0038     0B      F    0   00111110 1111                                      
 0039     0C      F    0   00111110 1111                                      
 0040     01      0    0   11111110 1111                                      
 0041     02      0    0   11111110 1111                                      
 0042     03      0    0   11111110 1111                                      
 0043     04      0    0   11111110 1111                                      
 0044     05      0    0   11111110 1111                                      
 0045     06      0    0   11111110 1111                                      
 0046     07      0    0   11111110 1111                                      
 0047     08      0    0   11111110 1111                                      
 0048     09      0    0   11111110 1111                                      
 0049     0A      8    0   11111110 1111                                      
 0050     0B      0    0   11111110 1111                                      
 0051     0C      0    0   11111110 1111                                      
 0052     01      B    1   11111101 1111                                      
 0053     02      B    1   11111101 1111                                      
 0054     03      F    1   11111101 1111                                      
 0055     04      F    1   11111101 1111                                      
 0056     05      0    1   11111101 1111                                      
 0057     06      F    1   11111101 1111                                      
 0058     07      F    1   11111101 1111                                      
 0059     08      8    1   11111101 1111                                      
 0060     08      8    1   11111101 1111                                      
 0061     09      3    1   11111101 1111                                      
 0062     0A      0    1   11111101 1111                                      
 0063     0B      4    1   11111101 1111                                      
 0064     0C      1    1   11111101 1111                                      
 0065     01      0    1   00111101 1111                                      
 0066     02      0    1   00111101 1111                                      
 0067     03      0    1   00111101 1111                                      
 0068     04      0    1   00111101 1111                                      
 0069     05      3    1   00111101 1111                                      
 0070     06      C    1   00111101 1111                                      
 0071     07      0    1   00111101 1111                                      
 0072     08      5    1   00111101 1111                                      
 0073     09      4    1   00111101 1111                                      
 0074     0A      4    1   00111101 1111                                      
 0075     0B      4    1   00111101 1111                                      
 0076     0C      D    1   00111101 1111                                      
 0077     01      B    0   11111110 1111                                      
 0078     02      B    0   11111110 1111                                      
 0079     03      F    0   11111110 1111                                      
 0080     04      F    0   11111110 1111                                      
 0081     05      F    0   11111110 1111                                      
 0082     06      F    0   11111110 1111                                      
 0083     07      F    0   11111110 1111                                      
 0084     08      F    0   11111110 1111                                      
 0085     09      F    0   11111110 1111                                      
 0086     0A      F    0   11111110 1111                                      
 0087     0B      F    0   11111110 1111                                      
 0088     0C      F    0   11111110 1111                                      
 0089     01      0    0   11111110 1111                                      
 0090     02      0    0   11111110 1111                                      
