 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE    
 0000 T   7F      0    0   111100 1111                                        
 0001     7E      C    0   111100 1111                                        
 0002     7D      0    0   111100 1111                                        
 0003     7C      3    0   111100 1111                                        
 0004     7E      0    0   111100 1111                                        
 0005     7D      0    0   111100 1111                                        
 0006     7C      0    0   111100 1111                                        
 0007     7B      0    0   111100 1111                                        
 0008     7A      0    0   111100 1111                                        
 0009     79      0    0   111100 1111                                        
 0010     78      0    0   111100 1111                                        
 0011     77      0    0   111100 1111                                        
 0012     76      0    0   111100 1111                                        
 0013     75      0    0   111100 1111                                        
 0014     74      0    0   111100 1111                                        
 0015     73      0    0   111100 1111                                        
 0016     7E      0    0   111100 1111                                        
 0017     7D      0    0   111100 1111                                        
 0018     7C      0    0   111100 1111                                        
 0019     7B      0    0   111100 1111                                        
 0020     7A      0    0   111100 1111                                        
 0021     79      0    0   111100 1111                                        
 0022     78      0    0   111100 1111                                        
 0023     77      0    0   111100 1111                                        
 0024     76      0    0   111100 1111                                        
 0025     75      0    0   111100 1111                                        
 0026     74      0    0   111100 1111                                        
 0027     73      0    0   111100 1111                                        
 0028     7F      0    1   111101 1111                                        
 0029     7E      C    1   111101 1111                                        
 0030     7D      0    1   111101 1111                                        
 0031     7C      4    1   111101 1111                                        
 0032     7B      0    1   111101 1111                                        
 0033     7A      4    1   111101 1111                                        
 0034     79      4    1   111101 1111                                        
 0035     78      5    1   111101 1111                                        
 0036     77      B    1   111101 1111                                        
 0037     76      3    1   111101 1111                                        
 0038     75      7    1   111101 1111                                        
 0039     74      6    1   111101 1111                                        
 0040     73      0    1   111101 1111                                        
 0041     72      F    1   111101 1111                                        
 0042     71      0    1   111101 1111                                        
 0043     71      0    1   111101 1111                                        
 0044     70      E    1   111101 1111                                        
 0045     7F      1    1   111101 1111                                        
 0046     7E      F    1   111101 1111                                        
 0047     7D      0    1   111101 1111                                        
 0048     7C      0    1   111101 1111                                        
 0049     7B      0    1   111101 1111                                        
 0050     7A      0    1   111101 1111                                        
 0051     79      E    1   111101 1111                                        
 0052     78      0    1   111101 1111                                        
 0053     77      0    1   111101 1111                                        
 0054     76      6    1   111101 1111                                        
 0055     75      1    1   111101 1111                                        
 0056     74      0    1   111101 1111                                        
 0057     74      E    1   111101 1111                                        
 0058     72      0    1   111101 1111                                        
 0059     71      0    1   111101 1111                                        
 0060     70      4    1   111101 1111                                        
 0061     7F      0    1   111111 1111                                        
 0062     7E      0    1   111111 1111                                        
 0063     7D      0    1   111111 1111                                        
 0064     7C      0    1   111111 1111                                        
 0065     7B      1    1   111111 1111                                        
 0066     7A      4    1   111111 1111                                        
 0067     79      4    1   111111 1111                                        
 0068     78      5    1   111111 1111                                        
 0069     70      E    1   111101 1111                                        
 0070     7F      0    1   111101 1111                                        
 0071     7E      4    1   111101 1111                                        
 0072     7D      1    1   111101 1111                                        
 0073     77      5    1   111101 1111                                        
 0074     76      0    1   111101 1111                                        
 0075     75      0    1   111101 1111                                        
 0076     41      F    1   111111 1111                                        
 0077     40      F    1   111111 1111                                        
 0078     7F      F    1   111101 1111                                        
 0079     7E      F    1   111101 1111                                        
 0080     7D      1    1   111101 1111                                        
 0081     7C      0    1   111101 1111                                        
 0082     7B      0    1   111101 1111                                        
 0083     7A      0    1   111101 1111                                        
 0084     79      0    1   111101 1111                                        
 0085     78      4    1   111101 1111                                        
 0086     77      1    1   111101 1111                                        
 0087     76      0    1   111101 1111                                        
 0088     76      6    1   111101 1111                                        
 0089     75      1    1   111101 1111                                        
 0090     74      E    1   111101 1111                                        
 0091     7F      9    1   111101 1111                                        
 0092     7E      9    1   111101 1111                                        
 0093     7D      0    1   111101 1111                                        
 0094     7C      3    1   111101 1111                                        
 0095     7B      0    1   111101 1111                                        
 0096     7A      9    1   111101 1111                                        
 0097     79      1    1   111101 1111                                        
 0098     78      8    1   111101 1111                                        
 0099     77      0    1   111101 1111                                        
 0100     77      4    1   111101 1111                                        
 0101     76      4    1   111101 1111                                        
 0102     75      1    1   111101 1111                                        
 0103     74      3    1   111101 1111                                        
 0104     73      0    1   111101 1111                                        
 0105     72      3    1   111101 1111                                        
 0106     71      4    1   111101 1111                                        
 0107     70      0    1   111101 1111                                        
 0108     7F      0    1   111111 1111                                        
 0109     7E      0    1   111111 1111                                        
 0110     7D      0    1   111111 1111                                        
 0111     7C      0    1   111111 1111                                        
 0112     7B      1    1   111111 1111                                        
 0113     7A      9    1   111111 1111                                        
 0114     79      1    1   111111 1111                                        
 0115     78      8    1   111111 1111                                        
 0116     77      4    1   111111 1111                                        
 0117     76      4    1   111111 1111                                        
 0118     75      1    1   111111 1111                                        
 0119     74      3    1   111111 1111                                        
 0120     73      0    1   111111 1111                                        
 0121     72      3    1   111111 1111                                        
 0122     71      4    1   111111 1111                                        
 0123     70      0    1   111111 1111                                        
 0124     72      0    1   111101 1111                                        
 0125     78      F    0   111110 1111                                        
 0126     7F      0    0   111110 1111                                        
 0127     7A      F    0   111110 1111                                        
 0128     74      F    0   111110 1111                                        
 0129     70      F    0   111110 1111                                        
 0130     7F      1    1   111111 1111                                        
 0131     7E      5    1   111111 1111           R                             
 0132     7D      4    1   111111 1111                                        
 0133     7C      4    1   111111 1111            E                            
 0134     7B      0    1   111111 1111                                        
 0135     7A      4    1   111111 1111             A                           
 0136     79      3    1   111111 1111                                        
 0137     78      4    1   111111 1111            D                            
 0138     77      8    1   111111 1111                                        
 0139     76      5    1   111111 1111            Y                            
 0140     75      F    1   111111 1111                                        
 0141     74      0    1   111111 1111           spc                             
 0142     73      F    1   111111 1111                                        
 0143     72      4    1   111111 1111           P                             
 0144     71      0    1   111111 1111                                        
 0145     70      3    1   111111 1111          0                              
 0146     6F      8    1   111111 1111                                        
 0147     6E      1    1   111111 1111          :                              
 0148     6D      F    1   111111 1111                                        
 0149     6C      0    1   111111 1111           spc                             
 0150     6F      F    1   111111 1111                                        
 0151     6E      F    1   111111 1111                                        
 0152     7C      0    0   111110 1111                                        
 0153     7B      0    0   111110 1111                                        
 0154     7A      0    0   111110 1111                                        
 0155     79      0    0   111110 1111                                        
 0156     78      0    0   111110 1111                                        
 0157     77      0    0   111110 1111                                        
 0158     76      0    0   111110 1111                                        
 0159     75      0    0   111110 1111                                        
 0160     74      0    0   111110 1111                                        
 0161     73      0    0   111110 1111                                        
 0162     7C      F    0   111110 1111                                        
 0163     7B      F    0   111110 1111                                        
 0164     7A      F    0   111110 1111                                        
 0165     79      F    0   111110 1111                                        
 0166     78      F    0   111110 1111                                        
 0167     77      F    0   111110 1111                                        
 0168     76      F    0   111110 1111                                        
 0169     75      F    0   111110 1111                                        
 0170     74      F    0   111110 1111                                        
 0171     73      F    0   111110 1111                                        
 0172     7C      0    0   111110 1111                                        
 0173     7B      0    0   111110 1111                                        
 0174     7A      0    0   111110 1111                                        
 0175     79      0    0   111110 1111                                        
 0176     78      0    0   111110 1111                                        
 0177     77      0    0   111110 1111                                        
 0178     76      0    0   111110 1111                                        
 0179     75      0    0   111110 1111                                        
 0180     74      0    0   111110 1111                                        
 0181     73      0    0   111110 1111                                        
 0182     7C      F    0   111110 1111                                        
 0183     7B      F    0   111110 1111                                        
 0184     7A      F    0   111110 1111                                        
 0185     79      F    0   111110 1111                                        
 0186     78      F    0   111110 1111                                        
 0187     77      F    0   111110 1111                                        
 0188     76      F    0   111110 1111                                        
 0189     75      F    0   111110 1111                                        
 0190     74      F    0   111110 1111                                        
 0191     73      F    0   111110 1111                                        
 0192     7C      F    1   111101 1111                                        
 0193     7B      F    1   111101 1111                                        
 0194     7A      F    1   111101 1111                                        
 0195     79      F    1   111101 1111                                        
 0196     78      F    1   111101 1111                                        
 0197     77      F    1   111101 1111                                        
 0198     76      F    1   111101 1111                                        
 0199     75      F    1   111101 1111                                        
 0200     74      F    1   111101 1111                                        
 0201     73      F    1   111101 1111                                        
 0202     7E      0    1   111101 1111                                        
 0203     7D      0    1   111101 1111                                        
 0204     7C      0    1   111101 1111                                        
 0205     7B      0    1   111101 1111                                        
 0206     7A      0    1   111101 1111                                        
 0207     79      8    1   111101 1111                                        
 0208     78      0    1   111101 1111                                        
 0209     77      0    1   111101 1111                                        
 0210     76      0    1   111101 1111                                        
 0211     75      0    1   111101 1111                                        
 0212     74      0    1   111101 1111                                        
 0213     73      0    1   111101 1111                                        
 0214     7C      F    0   111110 1111                                        
 0215     7B      F    0   111110 1111                                        
 0216     7A      F    0   111110 1111                                        
 0217     79      F    0   111110 1111                                        
 0218     78      F    0   111110 1111                                        
 0219     77      F    0   111110 1111                                        
 0220     76      F    0   111110 1111                                        
 0221     75      F    0   111110 1111                                        
 0222     74      F    0   111110 1111                                        
 0223     73      F    0   111110 1111                                        
 0224     7E      0    0   111110 1111                                        
 0225     7D      0    0   111110 1111                                        
 0226     7C      0    0   111110 1111                                        
 0227     7B      0    0   111110 1111                                        
 0228     7A      0    0   111110 1111                                        
 0229     79      0    0   111110 1111                                        
 0230     78      0    0   111110 1111                                        
 0231     77      0    0   111110 1111                                        
 0232     76      0    0   111110 1111                                        
 0233     75      8    0   111110 1111                                        
 0234     74      0    0   111110 1111                                        
 0235     73      0    0   111110 1111                                        
 0236     7C      F    0   111110 1111                                        
 0237     7B      F    0   111110 1111                                        
 0238     7A      F    0   111110 1111                                        
 0239     79      F    0   111110 1111                                        
 0240     78      F    0   111110 1111                                        
 0241     77      F    0   111110 1111                                        
 0242     76      F    0   111110 1111                                        
 0243     75      F    0   111110 1111                                        
 0244     74      F    0   111110 1111                                        
 0245     73      1    0   111110 1111                                        
 0246     7C      0    0   111110 1111                                        
 0247     7B      0    0   111110 1111                                        
 0248     7A      0    0   111110 1111                                        
 0249     79      0    0   111110 1111                                        
 0250     78      0    0   111110 1111                                        
 0251     77      0    0   111110 1111                                        
 0252     76      0    0   111110 1111                                        
 0253     75      0    0   111110 1111                                        
 0254     74      0    0   111110 1111                                        
 0255     73      5    0   111110 1111                                        
 0256     7C      F    1   111101 1111                                        
 0257     7B      F    1   111101 1111                                        
 0258     7A      F    1   111101 1111                                        
 0259     79      F    1   111101 1111                                        
 0260     78      F    1   111101 1111                                        
 0261     77      F    1   111101 1111                                        
 0262     76      F    1   111101 1111                                        
 0263     75      F    1   111101 1111                                        
 0264     74      F    1   111101 1111                                        
 0265     73      1    1   111101 1111                                        
 0266     73      1    1   111101 1111                                        
 0267     7E      0    1   111101 1111                                        
 0268     7D      0    1   111101 1111                                        
 0269     7C      0    1   111101 1111                                        
 0270     7B      0    1   111101 1111                                        
 0271     7A      0    1   111101 1111                                        
 0272     79      8    1   111101 1111                                        
 0273     78      0    1   111101 1111                                        
 0274     77      0    1   111101 1111                                        
 0275     76      0    1   111101 1111                                        
 0276     75      0    1   111101 1111                                        
 0277     74      0    1   111101 1111                                        
 0278     73      5    1   111101 1111                                        
 0279     7C      F    0   111110 1111                                        
 0280     7B      F    0   111110 1111                                        
 0281     7A      F    0   111110 1111                                        
 0282     79      F    0   111110 1111                                        
 0283     78      F    0   111110 1111                                        
 0284     77      F    0   111110 1111                                        
 0285     76      F    0   111110 1111                                        
 0286     75      F    0   111110 1111                                        
 0287     74      F    0   111110 1111                                        
 0288     73      F    0   111110 1111                                        
 0289     7E      0    0   111110 1111                                        
 0290     7D      0    0   111110 1111                                        
 0291     7C      0    0   111110 1111                                        
 0292     7B      0    0   111110 1111                                        
 0293     7A      0    0   111110 1111                                        
 0294     79      0    0   111110 1111                                        
 0295     78      0    0   111110 1111                                        
 0296     77      0    0   111110 1111                                        
 0297     76      0    0   111110 1111                                        
 0298     75      8    0   111110 1111                                        
 0299     74      0    0   111110 1111                                        
 0300     73      0    0   111110 1111                                        
 0301     7C      F    0   111110 1111                                        
 0302     7B      F    0   111110 1111                                        
 0303     7A      F    0   111110 1111                                        
 0304     79      F    0   111110 1111                                        
 0305     78      F    0   111110 1111                                        
 0306     77      F    0   111110 1111                                        
 0307     76      F    0   111110 1111                                        
 0308     75      F    0   111110 1111                                        
 0309     74      4    0   111110 1111                                        
 0310     73      1    0   111110 1111                                        
 0311     7C      0    0   111110 1111                                        
 0312     7B      0    0   111110 1111                                        
 0313     7A      0    0   111110 1111                                        
 0314     79      0    0   111110 1111                                        
 0315     78      0    0   111110 1111                                        
 0316     77      0    0   111110 1111                                        
 0317     76      0    0   111110 1111                                        
 0318     75      0    0   111110 1111                                        
 0319     74      4    0   111110 1111                                        
 0320     73      5    0   111110 1111                                        
 0321     7C      F    1   111101 1111                                        
 0322     7B      F    1   111101 1111                                        
 0323     7A      F    1   111101 1111                                        
 0324     79      F    1   111101 1111                                        
 0325     78      F    1   111101 1111                                        
 0326     77      F    1   111101 1111                                        
 0327     76      F    1   111101 1111                                        
 0328     75      F    1   111101 1111                                        
 0329     74      4    1   111101 1111                                        
 0330     73      1    1   111101 1111                                        
 0331     7E      0    1   111101 1111                                        
 0332     7D      0    1   111101 1111                                        
 0333     7C      0    1   111101 1111                                        
 0334     7B      0    1   111101 1111                                        
 0335     7A      0    1   111101 1111                                        
 0336     79      8    1   111101 1111                                        
 0337     78      0    1   111101 1111                                        
 0338     77      0    1   111101 1111                                        
 0339     76      0    1   111101 1111                                        
 0340     75      0    1   111101 1111                                        
 0341     74      4    1   111101 1111                                        
 0342     73      5    1   111101 1111                                        
 0343     7C      F    0   111110 1111                                        
 0344     7B      F    0   111110 1111                                        
 0345     7A      F    0   111110 1111                                        
 0346     79      F    0   111110 1111                                        
 0347     78      F    0   111110 1111                                        
 0348     77      F    0   111110 1111                                        
 0349     76      F    0   111110 1111                                        
 0350     75      F    0   111110 1111                                        
 0351     74      F    0   111110 1111                                        
 0352     73      F    0   111110 1111                                        
 0353     7E      0    0   111110 1111                                        
 0354     7D      0    0   111110 1111                                        
 0355     7C      0    0   111110 1111                                        
 0356     7B      0    0   111110 1111                                        
 0357     7A      0    0   111110 1111                                        
 0358     79      0    0   111110 1111                                        
 0359     78      0    0   111110 1111                                        
 0360     77      0    0   111110 1111                                        
 0361     76      0    0   111110 1111                                        
 0362     75      8    0   111110 1111                                        
 0363     74      0    0   111110 1111                                        
 0364     73      0    0   111110 1111                                        
 0365     7C      F    0   111110 1111                                        
 0366     7B      F    0   111110 1111                                        
 0367     7A      F    0   111110 1111                                        
 0368     79      F    0   111110 1111                                        
 0369     78      F    0   111110 1111                                        
 0370     77      F    0   111110 1111                                        
 0371     76      F    0   111110 1111                                        
 0372     75      0    0   111110 1111                                        
