 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  OP       CE     
 0000 T   7F      0    0   0        1111100 1111                              
 0001     7E      C    0   0        1111100 1111                              
 0002     7D      0    0   0        1111100 1111                              
 0003     7C      3    0   0        1111100 1111                              
 0004     7E      0    0   0        1111100 1111                              
 0005     7D      0    0   0        1111100 1111                              
 0006     7C      0    0   0        1111100 1111                              
 0007     7B      0    0   0        1111100 1111                              
 0008     7A      0    0   0        1111100 1111                              
 0009     79      0    0   0        1111100 1111                              
 0010     78      0    0   0        1111100 1111                              
 0011     77      0    0   0        1111100 1111                              
 0012     76      0    0   0        1111100 1111                              
 0013     75      0    0   0        1111100 1111                              
 0014     74      0    0   0        1111100 1111                              
 0015     73      0    0   0        1111100 1111                              
 0016     7E      0    0   0        1111100 1111                              
 0017     7D      0    0   0        1111100 1111                              
 0018     7C      0    0   0        1111100 1111                              
 0019     7B      0    0   0        0111100 1111                              
 0020     7A      0    0   0        0111100 1111                              
 0021     79      0    0   0        0111100 1111                              
 0022     78      0    0   0        0111100 1111                              
 0023     77      0    0   0        0111100 1111                              
 0024     76      0    0   0        0111100 1111                              
 0025     75      0    0   0        0111100 1111                              
 0026     74      0    0   0        0111100 1111                              
 0027     73      0    0   0        0111100 1111                              
 0028     7F      0    1   0        0111101 1111                              
 0029     7F      0    1   0        0111101 1111                              
 0030     7E      C    1   0        0111101 1111                              
 0031     7D      0    1   0        0111101 1111                              
 0032     7C      4    1   0        0111101 1111                              
 0033     7B      0    1   0        0111101 1111                              
 0034     7A      4    1   0        0111101 1111                              
 0035     79      4    1   0        0111101 1111                              
 0036     78      5    1   0        0111101 1111                              
 0037     77      8    1   0        0111101 1111                              
 0038     76      2    1   0        0111101 1111                              
 0039     75      0    1   0        0111101 1111                              
 0040     74      1    1   0        0111101 1111                              
 0041     73      5    1   0        0111101 1111                              
 0042     72      F    1   0        0111101 1111                              
 0043     71      0    1   0        0111101 1111                              
 0044     70      E    1   0        0111101 1111                              
 0045     7F      1    1   0        0111101 1111                              
 0046     7E      F    1   0        0111101 1111                              
 0047     7D      0    1   0        0111101 1111                              
 0048     7C      0    1   0        0111101 1111                              
 0049     7B      0    1   0        1111101 1111                              
 0050     7A      0    1   0        1111101 1111                              
