 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0000 T   00      0    0   11111100 1111                                      
 0001     00      0    0   11111100 1111                                      
 0002     01      C    0   11111100 1111                                      
 0003     02      0    0   11111100 1111                                      
 0004     03      3    0   11111100 1111                                      
 0005     01      0    0   11111100 1111                                      
 0006     02      0    0   11111100 1111                                      
 0007     03      0    0   11111100 1111                                      
 0008     04      0    0   11111100 1111                                      
 0009     05      0    0   11111100 1111                                      
 0010     06      0    0   11111100 1111                                      
 0011     07      0    0   11111100 1111                                      
 0012     08      0    0   11111100 1111                                      
 0013     09      0    0   11111100 1111                                      
 0014     0A      0    0   11111100 1111                                      
 0015     0B      0    0   11111100 1111                                      
 0016     0C      0    0   11111100 1111                                      
 0017     01      0    0   11111100 1111                                      
 0018     02      0    0   11111100 1111                                      
 0019     03      0    0   11111100 1111                                      
 0020     04      0    0   00111100 1111                                      
 0021     05      0    0   00111100 1111                                      
 0022     06      0    0   00111100 1111                                      
 0023     07      0    0   00111100 1111                                      
 0024     08      0    0   00111100 1111                                      
 0025     09      0    0   00111100 1111                                      
 0026     0A      0    0   00111100 1111                                      
 0027     0B      0    0   00111100 1111                                      
 0028     0C      0    0   00111100 1111                                      
 0029     00      0    1   00111101 1111                                      
 0030     00      0    1   00111101 1111                                      
 0031     01      C    1   00111101 1111                                      
 0032     02      0    1   00111101 1111                                      
 0033     03      4    1   00111101 1111                                      
 0034     04      0    1   00111101 1111                                      
 0035     05      4    1   00111101 1111                                      
 0036     06      4    1   00111101 1111                                      
 0037     07      8    1   00111101 1111                                      
 0038     08      F    1   00111101 1111                                      
 0039     09      3    1   00111101 1111                                      
 0040     0A      9    1   00111101 1111                                      
 0041     0B      2    1   00111101 1111                                      
 0042     0C      3    1   00111101 1111                                      
 0043     0D      F    1   00111101 1111                                      
 0044     0E      0    1   00111101 1111                                      
 0045     0F      E    1   00111101 1111                                      
 0046     00      1    1   00111101 1111                                      
 0047     01      F    1   00111101 1111                                      
 0048     02      0    1   00111101 1111                                      
 0049     03      0    1   00111101 1111                                      
 0050     04      0    1   11111101 1111                                      
 0051     05      0    1   11111101 1111                                      
 0052     06      2    1   11111101 1111                                      
 0053     07      1    1   11111101 1111                                      
 0054     08      0    1   11111101 1111                                      
 0055     09      6    1   11111101 1111                                      
 0056     0A      1    1   11111101 1111                                      
 0057     0B      E    1   11111101 1111                                      
 0058     0D      0    1   11111101 1111                                      
 0059     0D      0    1   11111101 1111                                      
 0060     0E      0    1   11111101 1111                                      
 0061     0F      5    1   11111101 1111                                      
 0062     00      0    1   11111111 1111                                      
 0063     00      0    1   11111111 1111                                      
 0064     01      0    1   11111111 1111                                      
 0065     02      0    1   11111111 1111                                      
 0066     03      0    1   11111111 1111                                      
 0067     04      1    1   11111111 1111                                      
 0068     05      4    1   11111111 1111                                      
 0069     06      4    1   11111111 1111                                      
 0070     07      8    1   11111111 1111                                      
 0071     0F      E    1   11111101 1111                                      
 0072     00      0    1   00111101 1111                                      
 0073     01      4    1   00111101 1111                                      
 0074     02      1    1   00111101 1111                                      
 0075     08      5    1   00111101 1111                                      
 0076     09      0    1   00111101 1111                                      
 0077     0A      0    1   00111101 1111                                      
 0078     3E      F    1   00111111 1111                                      
 0079     3F      F    1   00111111 1111                                      
 0080     00      F    1   11111101 1111                                      
 0081     01      F    1   00111101 1111                                      
 0082     02      1    1   00111101 1111                                      
 0083     03      0    1   00111101 1111                                      
 0084     04      0    1   00111101 1111                                      
 0085     05      0    1   00111101 1111                                      
 0086     06      0    1   00111101 1111                                      
 0087     07      4    1   00111101 1111                                      
 0088     08      1    1   00111101 1111                                      
 0089     09      6    1   00111101 1111                                      
 0090     0A      1    1   00111101 1111                                      
 0091     0B      E    1   00111101 1111                                      
 0092     00      9    1   00111101 1111                                      
 0093     01      9    1   00111101 1111                                      
 0094     02      0    1   00111101 1111                                      
 0095     03      3    1   00111101 1111                                      
 0096     04      0    1   00111101 1111                                      
 0097     05      9    1   00111101 1111                                      
 0098     06      1    1   00111101 1111                                      
 0099     07      8    1   00111101 1111                                      
 0100     08      4    1   00111101 1111                                      
 0101     09      4    1   00111101 1111                                      
 0102     0A      9    1   00111101 1111                                      
 0103     0B      0    1   00111101 1111                                      
