 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE      
 0000 T   0A      3    1   00111101 1111                                      
 0001     0B      5    1   00111101 1111                                      
 0002     0C      0    1   00111101 1111                                      
 0003     01      B    1   11111101 1111                                      
 0004     02      B    1   11111101 1111                                      
 0005     03      F    1   11111101 1111                                      
 0006     04      F    1   11111101 1111                                      
 0007     05      0    1   11111101 1111                                      
 0008     06      F    1   11111101 1111                                      
 0009     07      F    1   11111101 1111                                      
 0010     08      8    1   11111101 1111                                      
 0011     08      8    1   11111101 1111                                      
 0012     09      3    1   11111101 1111                                      
 0013     0A      0    1   11111101 1111                                      
 0014     0B      4    1   11111101 1111                                      
 0015     0C      1    1   11111101 1111                                      
 0016     01      0    1   00111101 1111                                      
 0017     02      0    1   00111101 1111                                      
 0018     03      0    1   00111101 1111                                      
 0019     04      0    1   00111101 1111                                      
 0020     05      3    1   00111101 1111                                      
 0021     06      C    1   00111101 1111                                      
 0022     07      0    1   00111101 1111                                      
 0023     08      5    1   00111101 1111                                      
 0024     09      4    1   00111101 1111                                      
 0025     0A      4    1   00111101 1111                                      
 0026     0B      4    1   00111101 1111                                      
 0027     0C      5    1   00111101 1111                                      
 0028     01      A    0   11111110 1111                                      
 0029     02      B    0   11111110 1111                                      
 0030     03      F    0   11111110 1111                                      
 0031     04      F    0   11111110 1111                                      
 0032     05      F    0   11111110 1111                                      
 0033     06      F    0   11111110 1111                                      
 0034     07      F    0   11111110 1111                                      
 0035     08      F    0   11111110 1111                                      
 0036     09      F    0   11111110 1111                                      
 0037     0A      F    0   11111110 1111                                      
 0038     0B      F    0   11111110 1111                                      
 0039     0C      F    0   11111110 1111                                      
 0040     01      0    0   00111110 1111                                      
 0041     02      0    0   00111110 1111                                      
 0042     03      0    0   00111110 1111                                      
 0043     04      0    0   00111110 1111                                      
 0044     05      0    0   00111110 1111                                      
 0045     06      0    0   00111110 1111                                      
 0046     07      0    0   00111110 1111                                      
 0047     08      0    0   00111110 1111                                      
 0048     09      0    0   00111110 1111                                      
 0049     0A      8    0   00111110 1111                                      
 0050     0B      0    0   00111110 1111                                      
 0051     0C      0    0   00111110 1111                                      
 0052     01      B    1   11111101 1111                                      
 0053     02      B    1   11111101 1111                                      
 0054     03      F    1   11111101 1111                                      
 0055     04      F    1   11111101 1111                                      
 0056     05      0    1   11111101 1111                                      
 0057     06      F    1   11111101 1111                                      
 0058     07      F    1   11111101 1111                                      
 0059     08      8    1   11111101 1111                                      
 0060     08      8    1   11111101 1111                                      
 0061     09      0    1   11111101 1111                                      
 0062     09      3    1   11111101 1111                                      
 0063     0A      0    1   11111101 1111                                      
 0064     0B      4    1   11111101 1111                                      
 0065     0C      1    1   00111101 1111                                      
 0066     01      0    1   00111101 1111                                      
 0067     02      0    1   00111101 1111                                      
 0068     03      0    1   00111101 1111                                      
 0069     04      0    1   00111101 1111                                      
 0070     05      3    1   00111101 1111                                      
 0071     06      C    1   00111101 1111                                      
 0072     07      0    1   00111101 1111                                      
 0073     08      5    1   00111101 1111                                      
 0074     09      4    1   00111101 1111                                      
 0075     0A      4    1   00111101 1111                                      
 0076     0B      4    1   00111101 1111                                      
 0077     0C      5    1   00111101 1111                                      
 0078     01      B    0   11111110 1111                                      
 0079     02      B    0   11111110 1111                                      
 0080     03      F    0   11111110 1111                                      
 0081     04      F    0   11111110 1111                                      
 0082     05      F    0   11111110 1111                                      
 0083     06      F    0   11111110 1111                                      
 0084     07      F    0   11111110 1111                                      
 0085     08      F    0   11111110 1111                                      
 0086     09      F    0   11111110 1111                                      
 0087     0A      F    0   11111110 1111                                      
 0088     0B      F    0   11111110 1111                                      
 0089     0C      F    0   11111110 1111                                      
 0090     01      0    0   00111110 1111                                      
 0091     02      0    0   00111110 1111                                      
 0092     03      0    0   00111110 1111                                      
 0093     04      0    0   00111110 1111                                      
 0094     05      0    0   00111110 1111                                      
 0095     06      0    0   00111110 1111                                      
 0096     07      0    0   00111110 1111                                      
 0097     08      0    0   00111110 1111                                      
 0098     09      0    0   00111110 1111                                      
 0099     0A      8    0   00111110 1111                                      
 0100     0B      0    0   00111110 1111                                      
 0101     0C      0    0   00111110 1111                                      
 0102     0A      9    1   11111101 1111                                      
 0103     0B      4    1   11111101 1111                                      
 0104     0C      3    1   11111101 1111                                      
 0105     0D      0    1   11111101 1111                                      
 0106     07      F    0   00111110 1111                                      
 0107     00      0    0   00111110 1111                                      
 0108     05      F    0   00111110 1111                                      
 0109     0B      F    0   11111110 1111                                      
 0110     0F      F    0   11111110 1111                                      
 0111     00      1    1   11111111 1111                                      
 0112     01      5    1   00111111 1111                                      
 0113     02      4    1   11111111 1111                                      
 0114     03      4    1   00111111 1111                                      
 0115     04      0    1   11111111 1111                                      
 0116     05      4    1   00111111 1111                                      
 0117     06      3    1   11111111 1111                                      
 0118     07      4    1   00111111 1111                                      
 0119     08      8    1   00111111 1111                                      
 0120     09      5    1   00111111 1111                                      
 0121     0A      F    1   11111111 1111                                      
 0122     0B      0    1   11111111 1111                                      
 0123     0B      0    1   11111111 1111                                      
 0124     0C      F    1   11111111 1111                                      
 0125     0D      4    1   11111111 1111                                      
 0126     0E      0    1   00111111 1111                                      
 0127     0F      3    1   00111111 1111                                      
 0128     10      8    1   11111111 1111                                      
 0129     11      1    1   11111111 1111                                      
 0130     12      F    1   11111111 1111                                      
 0131     13      0    1   00111111 1111                                      
 0132     13      0    1   00111111 1111                                      
 0133     14      0    1   00111111 1111                                      
 0134     14      0    1   00111111 1111                                      
 0135     15      3    1   11111111 1111                                      
 0136     16      1    1   11111111 1111                                      
 0137     17      3    1   11111111 1111                                      
 0138     18      2    1   00111111 1111                                      
 0139     19      3    1   00111111 1111                                      
 0140     1A      3    1   11111111 1111                                      
 0141     1B      3    1   11111111 1111                                      
 0142     1C      4    1   11111111 1111                                      
 0143     1D      3    1   00111111 1111                                      
 0144     1E      5    1   00111111 1111                                      
 0145     1F      3    1   00111111 1111                                      
 0146     20      6    1   11111111 1111                                      
 0147     21      3    1   11111111 1111                                      
 0148     22      7    1   00111111 1111                                      
 0149     23      3    1   00111111 1111                                      
 0150     24      8    1   00111111 1111                                      
 0151     25      3    1   11111111 1111                                      
 0152     26      9    1   11111111 1111                                      
 0153     27      3    1   11111111 1111                                      
 0154     28      F    1   00111111 1111                                      
 0155     29      F    1   11111111 1111                                      
 0156     03      0    0   11111110 1111                                      
 0157     04      0    0   11111110 1111                                      
 0158     05      0    0   11111110 1111                                      
 0159     06      0    0   11111110 1111                                      
 0160     07      0    0   11111110 1111                                      
 0161     08      0    0   11111110 1111                                      
 0162     09      0    0   11111110 1111                                      
 0163     0A      0    0   11111110 1111                                      
 0164     0B      0    0   11111110 1111                                      
 0165     0C      0    0   11111110 1111                                      
 0166     03      F    0   11111110 1111                                      
 0167     04      F    0   11111110 1111                                      
 0168     05      F    0   11111110 1111                                      
 0169     06      F    0   11111110 1111                                      
 0170     07      F    0   11111110 1111                                      
 0171     08      F    0   11111110 1111                                      
 0172     09      F    0   11111110 1111                                      
 0173     0A      F    0   11111110 1111                                      
 0174     0B      F    0   11111110 1111                                      
 0175     0C      F    0   11111110 1111                                      
 0176     03      0    0   00111110 1111                                      
 0177     04      0    0   00111110 1111                                      
 0178     05      0    0   00111110 1111                                      
 0179     06      0    0   00111110 1111                                      
 0180     07      0    0   00111110 1111                                      
 0181     08      0    0   00111110 1111                                      
 0182     09      0    0   00111110 1111                                      
 0183     0A      0    0   00111110 1111                                      
 0184     0B      0    0   00111110 1111                                      
 0185     0C      0    0   00111110 1111                                      
 0186     03      F    0   00111110 1111                                      
 0187     04      F    0   00111110 1111                                      
 0188     05      F    0   00111110 1111                                      
 0189     06      F    0   00111110 1111                                      
 0190     07      F    0   00111110 1111                                      
 0191     08      F    0   00111110 1111                                      
 0192     09      F    0   00111110 1111                                      
 0193     0A      F    0   00111110 1111                                      
 0194     0B      F    0   00111110 1111                                      
 0195     0C      F    0   00111110 1111                                      
 0196     03      F    1   11111101 1111                                      
 0197     04      F    1   11111101 1111                                      
 0198     05      F    1   11111101 1111                                      
 0199     06      F    1   11111101 1111                                      
 0200     07      F    1   11111101 1111                                      
 0201     08      F    1   11111101 1111                                      
 0202     09      F    1   11111101 1111                                      
 0203     0A      F    1   11111101 1111                                      
 0204     0B      F    1   11111101 1111                                      
 0205     0C      F    1   11111101 1111                                      
 0206     01      0    1   11111101 1111                                      
 0207     02      0    1   11111101 1111                                      
 0208     03      0    1   11111101 1111                                      
 0209     04      8    1   11111101 1111                                      
 0210     05      0    1   11111101 1111                                      
 0211     06      0    1   11111101 1111                                      
 0212     07      0    1   11111101 1111                                      
 0213     08      0    1   00111101 1111                                      
 0214     09      0    1   00111101 1111                                      
 0215     0A      0    1   00111101 1111                                      
 0216     0B      0    1   00111101 1111                                      
 0217     0C      0    1   00111101 1111                                      
 0218     03      F    0   00111110 1111                                      
 0219     04      F    0   00111110 1111                                      
 0220     05      F    0   00111110 1111                                      
 0221     06      F    0   00111110 1111                                      
 0222     07      F    0   00111110 1111                                      
 0223     08      F    0   00111110 1111                                      
 0224     09      F    0   00111110 1111                                      
 0225     0A      F    0   00111110 1111                                      
 0226     0B      F    0   00111110 1111                                      
 0227     0C      F    0   00111110 1111                                      
 0228     01      0    0   11111110 1111                                      
 0229     02      0    0   11111110 1111                                      
 0230     03      0    0   11111110 1111                                      
 0231     04      0    0   11111110 1111                                      
 0232     05      0    0   11111110 1111                                      
 0233     06      0    0   11111110 1111                                      
 0234     07      0    0   11111110 1111                                      
 0235     08      0    0   11111110 1111                                      
 0236     09      0    0   11111110 1111                                      
 0237     0A      8    0   11111110 1111                                      
 0238     0B      0    0   11111110 1111                                      
 0239     0C      0    0   11111110 1111                                      
 0240     03      F    0   11111110 1111                                      
 0241     04      F    0   11111110 1111                                      
 0242     05      F    0   11111110 1111                                      
 0243     06      F    0   11111110 1111                                      
