 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   WE  CE    
 0000 T   75      6    1   111101 1111                                        
 0001     74      0    1   111101 1111                                        
 0002     73      8    1   111101 1111                                        
 0003     7F      9    1   111111 1111                                        
 0004     7E      5    1   111111 1111                                        
 0005     7C      0    0   111110 1111                                        
 0006     7B      0    0   111110 1111                                        
 0007     7A      0    0   111110 1111                                        
 0008     79      0    0   111110 1111                                        
 0009     78      0    0   111110 1111                                        
 0010     77      0    0   111110 1111                                        
 0011     76      0    0   111110 1111                                        
 0012     75      0    0   111110 1111                                        
 0013     74      0    0   111110 1111                                        
 0014     73      0    0   111110 1111                                        
 0015     7C      F    0   111110 1111                                        
 0016     7B      F    0   111110 1111                                        
 0017     7A      F    0   111110 1111                                        
 0018     79      F    0   111110 1111                                        
 0019     78      F    0   111110 1111                                        
 0020     77      F    0   111110 1111                                        
 0021     76      F    0   111110 1111                                        
 0022     75      F    0   111110 1111                                        
 0023     74      F    0   111110 1111                                        
 0024     73      F    0   111110 1111                                        
 0025     7C      0    0   111110 1111                                        
 0026     7B      0    0   111110 1111                                        
 0027     7A      0    0   111110 1111                                        
 0028     79      0    0   111110 1111                                        
 0029     78      0    0   111110 1111                                        
 0030     77      0    0   111110 1111                                        
 0031     76      0    0   111110 1111                                        
 0032     75      0    0   111110 1111                                        
 0033     74      0    0   111110 1111                                        
 0034     73      0    0   111110 1111                                        
 0035     7C      F    0   111110 1111                                        
 0036     7B      F    0   111110 1111                                        
 0037     7A      F    0   111110 1111                                        
 0038     79      F    0   111110 1111                                        
 0039     78      F    0   111110 1111                                        
 0040     77      F    0   111110 1111                                        
 0041     76      F    0   111110 1111                                        
 0042     75      F    0   111110 1111                                        
 0043     74      F    0   111110 1111                                        
 0044     73      F    0   111110 1111                                        
 0045     7C      F    0   111110 1111                                        
 0046     7B      F    0   111110 1111                                        
 0047     7A      F    0   111110 1111                                        
 0048     79      F    0   111110 1111                                        
 0049     78      F    0   111110 1111                                        
 0050     77      F    0   111110 1111                                        
 0051     76      F    0   111110 1111                                        
 0052     75      F    0   111110 1111                                        
 0053     74      F    0   111110 1111                                        
 0054     73      9    0   111110 1111                                        
 0055     7C      0    0   111110 1111                                        
 0056     7B      0    0   111110 1111                                        
 0057     7A      0    0   111110 1111                                        
 0058     79      0    0   111110 1111                                        
 0059     78      0    0   111110 1111                                        
 0060     77      0    0   111110 1111                                        
 0061     76      0    0   111110 1111                                        
 0062     75      0    0   111110 1111                                        
 0063     74      0    0   111110 1111                                        
 0064     73      5    0   111110 1111                                        
 0065     7D      F    1   111111 1111                                        
 0066     7C      F    1   111111 1111                                        
 0067     7E      B    1   111101 1111                                        
 0068     7D      B    1   111101 1111                                        
 0069     7C      F    1   111101 1111                                        
 0070     7B      F    1   111101 1111                                        
 0071     7A      F    1   111101 1111                                        
 0072     79      F    1   111101 1111                                        
 0073     78      F    1   111101 1111                                        
 0074     77      F    1   111101 1111                                        
 0075     76      F    1   111101 1111                                        
 0076     75      F    1   111101 1111                                        
 0077     74      F    1   111101 1111                                        
 0078     74      F    1   111101 1111                                        
 0079     73      9    1   111101 1111                                        
 0080     7E      0    1   111101 1111                                        
 0081     7D      0    1   111101 1111                                        
 0082     7C      0    1   111101 1111                                        
 0083     7B      0    1   111101 1111                                        
 0084     7A      0    1   111101 1111                                        
 0085     79      8    1   111101 1111                                        
 0086     78      0    1   111101 1111                                        
 0087     77      0    1   111101 1111                                        
 0088     76      0    1   111101 1111                                        
 0089     75      0    1   111101 1111                                        
 0090     74      0    1   111101 1111                                        
 0091     73      5    1   111101 1111                                        
 0092     7E      B    0   111110 1111                                        
 0093     7D      B    0   111110 1111                                        
 0094     7C      F    0   111110 1111                                        
 0095     7B      F    0   111110 1111                                        
 0096     7A      F    0   111110 1111                                        
