 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 6930     00      F    0000000                                                
 6931     00      F    0000000                                                
 6932     75      0    1101111                                                
 6933     74      1    1101111                                                
 6934     73      3    1101111                                                
 6935     7F      1    1111111                                                
 6936     7E      3    1111111                                                
 6937     7C      0    1011111                                                
 6938     7B      0    1011111                                                
 6939     7A      0    1011111                                                
 6940     79      0    1011111                                                
 6941     78      0    1011111                                                
 6942     77      0    1011111                                                
 6943     76      0    1011111                                                
 6944     75      0    1011111                                                
 6945     74      0    1011111                                                
 6946     73      0    1011111                                                
 6947     7C      F    1011111                                                
 6948     7B      F    1011111                                                
 6949     7A      F    1011111                                                
 6950     79      F    1011111                                                
 6951     78      F    1011111                                                
 6952     77      F    1011111                                                
 6953     76      F    1011111                                                
 6954     75      F    1011111                                                
 6955     74      F    1011111                                                
 6956     73      F    1011111                                                
 6957     7C      0    1011111                                                
 6958     7B      0    1011111                                                
 6959     7A      0    1011111                                                
 6960     79      0    1011111                                                
 6961     78      0    1011111                                                
 6962     77      0    1011111                                                
 6963     76      0    1011111                                                
 6964     75      0    1011111                                                
 6965     74      0    1011111                                                
 6966     73      0    1011111                                                
 6967     7C      F    1011111                                                
 6968     7B      F    1011111                                                
 6969     7A      F    1011111                                                
 6970     79      F    1011111                                                
 6971     78      F    1011111                                                
 6972     77      F    1011111                                                
 6973     76      F    1011111                                                
 6974     75      F    1011111                                                
 6975     74      F    1011111                                                
 6976     73      F    1011111                                                
 6977     7C      0    1011111                                                
 6978     7B      F    1011111                                                
 6979     7A      F    1011111                                                
 6980     79      F    1011111                                                
 6981     78      F    1011111                                                
 6982     77      F    1011111                                                
 6983     76      F    1011111                                                
 6984     75      F    1011111                                                
 6985     74      F    1011111                                                
 6986     73      1    1011111                                                
 6987     7C      0    1011111                                                
 6988     7B      0    1011111                                                
 6989     7A      0    1011111                                                
 6990     79      0    1011111                                                
 6991     78      0    1011111                                                
 6992     77      0    1011111                                                
 6993     76      0    1011111                                                
 6994     75      0    1011111                                                
 6995     74      0    1011111                                                
 6996     73      0    1011111                                                
 6997     7D      F    1111111                                                
 6998     7C      F    1111111                                                
 6999     7E      0    1101111                                                
 7000     7D      0    1101111                                                
 7001     7C      1    1101111                                                
 7002     7B      F    1101111                                                
 7003     7A      F    1101111                                                
 7004     79      F    1101111                                                
 7005     78      F    1101111                                                
 7006     77      F    1101111                                                
 7007     76      F    1101111                                                
 7008     75      F    1101111                                                
 7009     74      F    1101111                                                
 7010     73      1    1101111                                                
 7011     7E      0    1101111                                                
 7012     7D      0    1101111                                                
 7013     7C      0    1101111                                                
 7014     7B      0    1101111                                                
 7015     7A      0    1101111                                                
 7016     79      0    1101111                                                
 7017     78      0    1101111                                                
 7018     77      0    1101111                                                
 7019     76      0    1101111                                                
 7020     75      0    1101111                                                
 7021     74      0    1101111                                                
 7022     73      0    1101111                                                
 7023     7E      0    1011111                                                
 7024     7D      0    1011111                                                
 7025     7C      8    1011111                                                
 7026     7B      F    1011111                                                
 7027     7A      F    1011111                                                
 7028     79      F    1011111                                                
 7029     78      F    1011111                                                
 7030     77      F    1011111                                                
 7031     76      F    1011111                                                
 7032     75      F    1011111                                                
 7033     74      F    1011111                                                
 7034     73      F    1011111                                                
 7035     7E      0    1011111                                                
 7036     7D      0    1011111                                                
 7037     7C      0    1011111                                                
 7038     7B      0    1011111                                                
 7039     7A      0    1011111                                                
 7040     79      0    1011111                                                
 7041     78      0    1011111                                                
 7042     77      0    1011111                                                
 7043     76      0    1011111                                                
 7044     75      0    1011111                                                
 7045     74      0    1011111                                                
 7046     73      0    1011111                                                
 7047     74      E    1101111                                                
 7048     74      5    1101111                                                
 7049     74      F    1101111                                                
 7050     74      0    1101111                                                
 7051     75      4    1101111                                                
 7052     74      4    1101111                                                
 7053     73      0    1101111                                                
 7054     7D      0    1111111                                                
 7055     7C      3    1111111                                                
 7056     7C      3    1011111                                                
 7057     7B      F    1011111                                                
 7058     7A      F    1011111                                                
 7059     79      F    1011111                                                
 7060     78      F    1011111                                                
 7061     77      F    1011111                                                
 7062     76      F    1011111                                                
 7063     75      F    1011111                                                
 7064     74      0    1011111                                                
 7065     73      0    1011111                                                
 7066     7C      0    1011111                                                
 7067     7B      0    1011111                                                
 7068     7A      0    1011111                                                
 7069     79      0    1011111                                                
 7070     78      0    1011111                                                
 7071     77      0    1011111                                                
 7072     76      0    1011111                                                
 7073     75      0    1011111                                                
 7074     74      0    1011111                                                
 7075     73      3    1011111                                                
 7076     7B      F    1111111                                                
 7077     7A      F    1111111                                                
 7078     7E      6    1101111                                                
 7079     7D      0    1101111                                                
