 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 7740     00      F    0000000                                                
 7741     00      F    0000000                                                
 7742     00      F    0000000                                                
 7743     00      F    0000000                                                
 7744     00      F    0000000                                                
 7745     00      F    0000000                                                
 7746     00      F    0000000                                                
 7747     00      F    0000000                                                
 7748     00      F    0000000                                                
 7749     00      F    0000000                                                
 7750     00      F    0000000                                                
 7751     00      F    0000000                                                
 7752     00      F    0000000                                                
 7753     00      F    0000000                                                
 7754     00      F    0000000                                                
 7755     00      F    0000000                                                
 7756     00      F    0000000                                                
 7757     00      F    0000000                                                
 7758     75      4    1101111                                                
 7759     74      6    1101111                                                
 7760     73      0    1101111                                                
 7761     7E      0    1101111                                                
 7762     7D      B    1101111                                                
 7763     7C      B    1101111                                                
 7764     7B      F    1101111                                                
 7765     7A      0    1101111                                                
 7766     79      0    1101111                                                
 7767     78      F    1101111                                                
 7768     77      8    1101111                                                
 7769     76      0    1101111                                                
 7770     75      0    1101111                                                
 7771     74      0    1101111                                                
 7772     73      0    1101111                                                
 7773     7E      0    1101111                                                
 7774     7D      0    1101111                                                
 7775     7C      0    1101111                                                
 7776     7B      0    1101111                                                
 7777     7A      0    1101111                                                
 7778     79      0    1101111                                                
 7779     78      0    1101111                                                
 7780     77      0    1101111                                                
 7781     76      4    1101111                                                
 7782     75      4    1101111                                                
 7783     74      4    1101111                                                
 7784     73      4    1101111                                                
 7785     7E      A    1011111                                                
 7786     7D      A    1011111                                                
 7787     7C      B    1011111                                                
 7788     7B      F    1011111                                                
 7789     7A      F    1011111                                                
 7790     79      F    1011111                                                
 7791     78      F    1011111                                                
 7792     77      F    1011111                                                
 7793     76      F    1011111                                                
 7794     75      F    1011111                                                
 7795     74      F    1011111                                                
 7796     73      F    1011111                                                
 7797     7E      0    1011111                                                
 7798     7D      0    1011111                                                
 7799     7C      0    1011111                                                
 7800     7B      0    1011111                                                
 7801     7A      0    1011111                                                
 7802     79      0    1011111                                                
 7803     78      0    1011111                                                
 7804     77      0    1011111                                                
 7805     76      0    1011111                                                
 7806     75      0    1011111                                                
 7807     74      0    1011111                                                
 7808     73      0    1011111                                                
 7809     7E      B    1101111                                                
 7810     7D      B    1101111                                                
 7811     7C      B    1101111                                                
 7812     7B      F    1101111                                                
 7813     7A      0    1101111                                                
 7814     79      0    1101111                                                
