 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 5000     00      F    0000000                                                
 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 5000     00      F    0000000                                                
 5001     00      F    0000000                                                
 5002     00      F    0000000                                                
 5003     00      F    0000000                                                
 5004     00      F    0000000                                                
 5005     00      F    0000000                                                
 5006     00      F    0000000                                                
 5007     00      F    0000000                                                
 5008     00      F    0000000                                                
 5009     00      F    0000000                                                
 5010     00      F    0000000                                                
 5011     00      F    0000000                                                
 5012     00      F    0000000                                                
 5013     00      F    0000000                                                
 5014     00      F    0000000                                                
 5015     00      F    0000000                                                
 5016     00      F    0000000                                                
 5017     00      F    0000000                                                
 5018     00      F    0000000                                                
 5019     00      F    0000000                                                
 5020     00      F    0000000                                                
 5021     00      F    0000000                                                
 5022     00      F    0000000                                                
 5023     00      F    0000000                                                
 5024     00      F    0000000                                                
 5025     00      F    0000000                                                
 5026     00      F    0000000                                                
 5027     00      F    0000000                                                
 5028     00      F    0000000                                                
 5029     00      F    0000000                                                
 5030     00      F    0000000                                                
 5031     00      F    0000000                                                
 5032     00      F    0000000                                                
 5033     00      F    0000000                                                
 5034     00      F    0000000                                                
 5035     00      F    0000000                                                
 5036     00      F    0000000                                                
 5037     00      F    0000000                                                
 5038     00      F    0000000                                                
 5039     00      F    0000000                                                
 5040     00      F    0000000                                                
 5041     00      F    0000000                                                
 5042     00      F    0000000                                                
 5043     00      F    0000000                                                
 5044     00      F    0000000                                                
 5045     00      F    0000000                                                
 5046     00      F    0000000                                                
 5047     00      F    0000000                                                
 5048     00      F    0000000                                                
 5049     00      F    0000000                                                
 5050     00      F    0000000                                                
 5051     00      F    0000000                                                
 5052     00      F    0000000                                                
 5053     00      F    0000000                                                
 5054     00      F    0000000                                                
 5055     00      F    0000000                                                
 5056     00      F    0000000                                                
 5057     00      F    0000000                                                
 5058     00      F    0000000                                                
 5059     00      F    0000000                                                
 5060     00      F    0000000                                                
 5061     00      F    0000000                                                
 5062     00      F    0000000                                                
 5063     00      F    0000000                                                
 5064     00      F    0000000                                                
 5065     00      F    0000000                                                
 5066     00      F    0000000                                                
 5067     00      F    0000000                                                
 5068     00      F    0000000                                                
 5069     00      F    0000000                                                
 5070     00      F    0000000                                                
 5071     00      F    0000000                                                
 5072     00      F    0000000                                                
 5073     00      F    0000000                                                
 5074     00      F    0000000                                                
 5075     00      F    0000000                                                
 5076     00      F    0000000                                                
 5077     00      F    0000000                                                
 5078     00      F    0000000                                                
 5079     00      F    0000000                                                
 5080     00      F    0000000                                                
 5081     00      F    0000000                                                
 5082     00      F    0000000                                                
 5083     00      F    0000000                                                
 5084     00      F    0000000                                                
 5085     00      F    0000000                                                
 5086     00      F    0000000                                                
 5087     00      F    0000000                                                
 5088     00      F    0000000                                                
 5089     00      F    0000000                                                
 5090     00      F    0000000                                                
 5091     00      F    0000000                                                
 5092     00      F    0000000                                                
 5093     00      F    0000000                                                
 5094     00      F    0000000                                                
 5095     00      F    0000000                                                
 5096     00      F    0000000                                                
 5097     00      F    0000000                                                
 5098     00      F    0000000                                                
 5099     00      F    0000000                                                
 5100     00      F    0000000                                                
 5101     00      F    0000000                                                
 5102     00      F    0000000                                                
 5103     00      F    0000000                                                
 5104     00      F    0000000                                                
 5105     00      F    0000000                                                
 5106     00      F    0000000                                                
 5107     00      F    0000000                                                
 5108     00      F    0000000                                                
 5109     00      F    0000000                                                
 5110     00      F    0000000                                                
 5111     00      F    0000000                                                
 5112     00      F    0000000                                                
 5113     00      F    0000000                                                
 5114     00      F    0000000                                                
 5115     00      F    0000000                                                
 5116     00      F    0000000                                                
 5117     00      F    0000000                                                
 5118     00      F    0000000                                                
 5119     00      F    0000000                                                
 5120     00      F    0000000                                                
 5121     00      F    0000000                                                
 5122     00      F    0000000                                                
 5123     00      F    0000000                                                
 5124     00      F    0000000                                                
 5125     00      F    0000000                                                
 5126     00      F    0000000                                                
 5127     00      F    0000000                                                
 5128     00      F    0000000                                                
 5129     00      F    0000000                                                
 5130     00      F    0000000                                                
 5131     00      F    0000000                                                
 5132     00      F    0000000                                                
 5133     00      F    0000000                                                
 5134     00      F    0000000                                                
 5135     00      F    0000000                                                
 5136     00      F    0000000                                                
 5137     00      F    0000000                                                
 5138     00      F    0000000                                                
 5139     00      F    0000000                                                
 5140     00      F    0000000                                                
 5141     00      F    0000000                                                
 5142     00      F    0000000                                                
 5143     00      F    0000000                                                
 5144     00      F    0000000                                                
 5145     00      F    0000000                                                
 5146     00      F    0000000                                                
 5147     00      F    0000000                                                
 5148     00      F    0000000                                                
 5149     00      F    0000000                                                
 5150     00      F    0000000                                                
 5151     00      F    0000000                                                
 5152     00      F    0000000                                                
 5153     00      F    0000000                                                
 5154     00      F    0000000                                                
 5155     00      F    0000000                                                
 5156     00      F    0000000                                                
 5157     00      F    0000000                                                
 5158     00      F    0000000                                                
 5159     00      F    0000000                                                
 5160     00      F    0000000                                                
