 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE 
 7390     00      F    00000000                                               
 7391     00      F    00000000                                               
 7392     00      F    00000000                                               
 7393     00      F    00000000                                               
 7394     00      F    00000000                                               
 7395     00      F    00000000                                               
 7396     7F      0    10001111                                               
 7397     7E      0    10001111                                               
 7398     7D      0    10001111                                               
 7399     7C      0    10001111                                               
 7400     7E      0    11001111                                               
 7401     7D      0    11001111                                               
 7402     7C      0    11001111                                               
 7403     7B      0    11001111                                               
 7404     7A      0    11001111                                               
 7405     79      0    11001111                                               
 7406     78      0    11001111                                               
 7407     77      0    11001111                                               
 7408     76      0    11001111                                               
 7409     75      0    11001111                                               
 7410     74      0    11001111                                               
 7411     73      0    11001111                                               
 7412     7E      0    11001111                                               
 7413     7D      0    11001111                                               
 7414     7C      0    11001111                                               
 7415     7B      0    11001111                                               
 7416     7A      0    10001111                                               
 7417     79      0    10001111                                               
 7418     78      0    10001111                                               
 7419     77      0    10001111                                               
 7420     76      0    10001111                                               
 7421     75      0    10001111                                               
 7422     74      0    10001111                                               
 7423     73      0    10001111                                               
 7424     7F      0    10101111                                               
 7425     7E      0    10101111                                               
 7426     7D      0    10101111                                               
 7427     7C      0    10101111                                               
 7428     7B      0    10101111                                               
 7429     7A      0    10101111                                               
 7430     79      4    10101111                                               
 7431     78      0    10101111                                               
 7432     77      0    10101111                                               
 7433     76      0    10101111                                               
 7434     75      0    10101111                                               
 7435     74      0    10101111                                               
 7436     73      0    10101111                                               
 7437     72      0    10101111                                               
 7438     71      0    10101111                                               
 7439     70      0    10101111                                               
 7440     7F      0    10101111                                               
 7441     7E      1    10101111                                               
 7442     7D      0    10101111                                               
 7443     7C      0    10101111                                               
 7444     7B      0    10101111                                               
 7445     7A      0    11101111                                               
 7446     79      0    11101111                                               
 7447     78      0    11101111                                               
 7448     77      0    11101111                                               
 7449     76      0    11101111                                               
 7450     75      0    11101111                                               
 7451     74      0    11101111                                               
 7452     72      0    11101111                                               
 7453     71      0    11101111                                               
 7454     70      5    11101111                                               
 7455     7F      0    11111111                                               
 7456     7E      0    11111111                                               
 7457     7D      0    11111111                                               
 7458     7C      0    11111111                                               
 7459     7B      0    11111111                                               
 7460     7A      0    11111111                                               
 7461     79      4    11111111                                               
 7462     78      0    11111111                                               
 7463     70      E    11101111                                               
 7464     7F      0    10101111                                               
 7465     7E      0    10101111                                               
 7466     7D      0    10101111                                               
 7467     77      5    10101111                                               
 7468     76      0    10101111                                               
 7469     75      0    10101111                                               
 7470     41      F    10111111                                               
 7471     40      F    10111111                                               
 7472     7F      F    11101111                                               
 7473     7E      F    11101111                                               
 7474     7D      1    11101111                                               
 7475     7C      0    11101111                                               
 7476     7B      0    11101111                                               
 7477     7A      0    11101111                                               
 7478     79      0    10101111                                               
 7479     78      0    10101111                                               
 7480     77      0    10101111                                               
 7481     76      0    10101111                                               
 7482     75      0    10101111                                               
 7483     74      0    10101111                                               
 7484     7F      9    10101111                                               
 7485     7E      9    10101111                                               
 7486     7D      0    10101111                                               
 7487     7C      0    10101111                                               
 7488     7B      0    10101111                                               
 7489     7A      0    10101111                                               
 7490     79      1    10101111                                               
 7491     78      0    10101111                                               
 7492     77      0    10101111                                               
 7493     76      4    10101111                                               
 7494     75      0    10101111                                               
 7495     74      0    10101111                                               
 7496     73      1    10101111                                               
 7497     72      3    10101111                                               
 7498     71      0    10101111                                               
 7499     70      0    10101111                                               
 7500     7F      0    11111111                                               
 7501     7E      0    11111111                                               
 7502     7D      0    11111111                                               
 7503     7C      0    11111111                                               
 7504     7B      0    11111111                                               
 7505     7A      1    11111111                                               
 7506     79      1    11111111                                               
 7507     78      0    11111111                                               
 7508     77      0    11111111                                               
 7509     76      4    11111111                                               
 7510     75      0    11111111                                               
 7511     74      0    11111111                                               
 7512     73      1    11111111                                               
 7513     72      3    11111111                                               
 7514     71      0    11111111                                               
 7515     70      0    11111111                                               
 7516     72      0    11101111                                               
 7517     78      F    10011111                                               
 7518     7F      0    11011111                                               
 7519     7A      F    11011111                                               
 7520     74      F    11011111                                               
 7521     70      F    11011111                                               
 7522     7F      1    10111111                                               
 7523     7E      5    10111111                                               
 7524     7D      4    10111111                                               
 7525     7C      4    10111111                                               
 7526     7B      0    10111111                                               
 7527     7A      4    10111111                                               
 7528     79      3    10111111                                               
 7529     78      4    10111111                                               
 7530     77      8    10111111                                               
 7531     76      5    11111111                                               
 7532     75      F    11111111                                               
 7533     74      0    11111111                                               
 7534     73      F    11111111                                               
 7535     72      4    10111111                                               
 7536     71      0    10111111                                               
 7537     70      3    10111111                                               
 7538     6F      8    11111111                                               
 7539     6E      1    11111111                                               
 7540     6D      F    10111111                                               
 7541     6C      0    10111111                                               
 7542     6F      F    11111111                                               
 7543     6E      F    11111111                                               
 7544     7C      0    11011111                                               
 7545     7B      0    11011111                                               
 7546     7A      0    11011111                                               
 7547     79      0    11011111                                               
 7548     78      0    11011111                                               
 7549     77      0    11011111                                               
 7550     76      0    11011111                                               
 7551     75      0    11011111                                               
 7552     74      0    11011111                                               
 7553     73      0    11011111                                               
 7554     7C      F    10011111                                               
 7555     7B      F    10011111                                               
 7556     7A      F    10011111                                               
 7557     79      F    10011111                                               
 7558     78      F    10011111                                               
 7559     77      F    10011111                                               
 7560     76      F    10011111                                               
 7561     75      F    10011111                                               
 7562     74      F    10011111                                               
 7563     73      F    10011111                                               
 7564     7C      0    10011111                                               
 7565     7B      0    10011111                                               
 7566     7A      0    10011111                                               
 7567     79      0    10011111                                               
 7568     78      0    10011111                                               
 7569     77      0    10011111                                               
 7570     76      0    10011111                                               
 7571     75      0    10011111                                               
 7572     74      0    10011111                                               
 7573     73      0    10011111                                               
 7574     7C      F    11011111                                               
 7575     7B      F    11011111                                               
 7576     7A      F    11011111                                               
 7577     79      F    11011111                                               
 7578     78      F    11011111                                               
 7579     77      F    11011111                                               
 7580     76      F    11011111                                               
 7581     75      F    11011111                                               
 7582     74      F    11011111                                               
 7583     73      F    11011111                                               
 7584     7C      F    11101111                                               
 7585     7B      F    11101111                                               
 7586     7A      F    11101111                                               
 7587     79      F    11101111                                               
 7588     78      F    11101111                                               
 7589     77      F    11101111                                               
 7590     76      F    11101111                                               
 7591     75      F    11101111                                               
 7592     74      F    10101111                                               
 7593     73      F    10101111                                               
 7594     7E      0    10101111                                               
 7595     7D      0    10101111                                               
 7596     7C      0    10101111                                               
 7597     7B      0    10101111                                               
 7598     7A      0    10101111                                               
 7599     79      0    10101111                                               
 7600     78      0    10101111                                               
 7601     77      0    10101111                                               
 7602     76      0    10101111                                               
 7603     75      0    10101111                                               
 7604     74      0    10101111                                               
 7605     73      0    10101111                                               
 7606     7C      F    11011111                                               
 7607     7B      F    11011111                                               
 7608     7A      F    11011111                                               
 7609     79      F    11011111                                               
 7610     78      F    11011111                                               
 7611     77      F    11011111                                               
 7612     76      F    11011111                                               
 7613     75      F    11011111                                               
 7614     74      F    11011111                                               
 7615     73      F    11011111                                               
 7616     7E      0    11011111                                               
 7617     7D      0    11011111                                               
 7618     7C      0    11011111                                               
 7619     7B      0    11011111                                               
 7620     7A      0    11011111                                               
 7621     79      0    11011111                                               
 7622     78      0    11011111                                               
 7623     77      0    11011111                                               
 7624     76      0    11011111                                               
 7625     75      0    10011111                                               
 7626     74      0    10011111                                               
 7627     73      0    10011111                                               
 7628     7C      0    11011111                                               
 7629     7B      F    11011111                                               
 7630     7A      F    11011111                                               
 7631     79      F    11011111                                               
 7632     78      F    10011111                                               
 7633     77      F    10011111                                               
 7634     76      F    10011111                                               
 7635     75      F    10011111                                               
 7636     74      F    10011111                                               
 7637     73      1    10011111                                               
 7638     7C      0    10011111                                               
 7639     7B      0    10011111                                               
 7640     7A      0    10011111                                               
 7641     79      0    10011111                                               
 7642     78      0    10011111                                               
 7643     77      0    10011111                                               
 7644     76      0    10011111                                               
 7645     75      0    10011111                                               
 7646     74      0    10011111                                               
 7647     73      0    10011111                                               
 7648     7C      F    11101111                                               
 7649     7B      F    11101111                                               
 7650     7A      F    11101111                                               
 7651     79      F    11101111                                               
 7652     78      F    11101111                                               
 7653     77      F    11101111                                               
 7654     76      F    11101111                                               
 7655     75      F    11101111                                               
 7656     74      F    11101111                                               
 7657     73      1    11101111                                               
 7658     7E      0    11101111                                               
 7659     7D      0    10101111                                               
 7660     7C      0    10101111                                               
 7661     7B      0    10101111                                               
 7662     7A      0    10101111                                               
 7663     79      0    10101111                                               
 7664     78      0    10101111                                               
 7665     77      0    10101111                                               
 7666     76      0    10101111                                               
 7667     75      0    10101111                                               
 7668     74      0    10101111                                               
 7669     73      0    10101111                                               
 7670     7C      F    10011111                                               
 7671     7B      F    10011111                                               
 7672     7A      F    10011111                                               
 7673     79      F    10011111                                               
 7674     78      F    10011111                                               
 7675     77      F    10011111                                               
 7676     76      F    10011111                                               
 7677     75      F    10011111                                               
 7678     74      F    10011111                                               
 7679     73      F    10011111                                               
 7680     7E      0    11011111                                               
 7681     7D      0    11011111                                               
 7682     7C      0    11011111                                               
 7683     7B      0    11011111                                               
 7684     7A      0    11011111                                               
 7685     79      0    11011111                                               
 7686     78      0    11011111                                               
 7687     77      0    11011111                                               
 7688     76      0    11011111                                               
 7689     75      0    11011111                                               
 7690     74      0    11011111                                               
 7691     73      0    11011111                                               
 7692     7C      5    11011111                                               
 7693     7B      F    11011111                                               
 7694     7A      F    11011111                                               
 7695     79      F    11011111                                               
 7696     78      F    11011111                                               
 7697     77      F    11011111                                               
 7698     76      F    11011111                                               
 7699     75      F    11011111                                               
 7700     74      4    11011111                                               
 7701     73      0    11011111                                               
 7702     7C      0    11011111                                               
 7703     7B      0    11011111                                               
 7704     7A      0    11011111                                               
 7705     79      0    11011111                                               
 7706     78      0    11011111                                               
 7707     77      0    11011111                                               
 7708     76      0    11011111                                               
 7709     75      0    11011111                                               
 7710     74      0    11011111                                               
 7711     73      4    11011111                                               
 7712     7C      F    10101111                                               
 7713     7B      F    10101111                                               
 7714     7A      F    10101111                                               
 7715     79      F    10101111                                               
 7716     78      F    10101111                                               
 7717     77      F    10101111                                               
 7718     76      F    10101111                                               
 7719     75      F    10101111                                               
 7720     74      4    10101111                                               
 7721     73      0    10101111                                               
 7722     7E      0    11101111                                               
 7723     7D      0    11101111                                               
 7724     7C      0    11101111                                               
 7725     7B      0    11101111                                               
 7726     7A      0    11101111                                               
 7727     79      0    11101111                                               
 7728     78      0    11101111                                               
 7729     77      0    11101111                                               
 7730     76      0    11101111                                               
 7731     75      0    11101111                                               
 7732     74      0    11101111                                               
 7733     73      4    11101111                                               
 7734     7C      F    11011111                                               
 7735     7B      F    11011111                                               
 7736     7A      F    11011111                                               
 7737     79      F    11011111                                               
 7738     78      F    11011111                                               
 7739     77      F    10011111                                               
 7740     76      F    10011111                                               
 7741     75      F    10011111                                               
 7742     74      F    10011111                                               
 7743     73      F    10011111                                               
 7744     7E      0    10011111                                               
 7745     7D      0    10011111                                               
 7746     7C      0    10011111                                               
 7747     7B      0    10011111                                               
 7748     7A      0    10011111                                               
 7749     79      0    10011111                                               
 7750     78      0    10011111                                               
 7751     77      0    10011111                                               
 7752     76      0    10011111                                               
 7753     75      0    10011111                                               
 7754     74      0    10011111                                               
 7755     73      0    10011111                                               
 7756     7C      5    10011111                                               
 7757     7B      F    10011111                                               
 7758     7A      F    10011111                                               
 7759     79      F    10011111                                               
 7760     78      F    10011111                                               
 7761     77      F    10011111                                               
 7762     76      F    10011111                                               
 7763     75      0    10011111                                               
 7764     74      0    10011111                                               
 7765     73      0    10011111                                               
 7766     7C      0    10011111                                               
 7767     7B      0    10011111                                               
 7768     7A      0    10011111                                               
 7769     79      0    10011111                                               
 7770     78      0    10011111                                               
 7771     77      0    10011111                                               
 7772     76      0    10011111                                               
 7773     75      0    10011111                                               
 7774     74      4    11011111                                               
 7775     73      4    11011111                                               
 7776     7C      F    11101111                                               
 7777     7B      F    11101111                                               
 7778     7A      F    11101111                                               
 7779     79      F    11101111                                               
 7780     78      F    11101111                                               
 7781     77      F    11101111                                               
 7782     76      F    11101111                                               
 7783     75      0    11101111                                               
 7784     74      0    11101111                                               
 7785     73      0    11101111                                               
 7786     7E      0    10101111                                               
 7787     7D      0    10101111                                               
 7788     7C      0    10101111                                               
 7789     7B      0    10101111                                               
 7790     7A      0    10101111                                               
 7791     79      0    10101111                                               
 7792     78      0    10101111                                               
 7793     77      0    10101111                                               
 7794     76      0    10101111                                               
 7795     75      0    10101111                                               
 7796     74      4    10101111                                               
 7797     73      4    10101111                                               
 7798     7C      F    11011111                                               
 7799     7B      F    11011111                                               
 7800     7A      F    11011111                                               
 7801     79      F    11011111                                               
 7802     78      F    11011111                                               
 7803     77      F    11011111                                               
 7804     76      F    11011111                                               
 7805     75      F    11011111                                               
 7806     74      F    11011111                                               
 7807     73      F    11011111                                               
 7808     7E      0    11011111                                               
 7809     7D      0    11011111                                               
 7810     7C      0    11011111                                               
 7811     7B      0    11011111                                               
 7812     7A      0    11011111                                               
 7813     79      0    11011111                                               
 7814     78      0    11011111                                               
 7815     77      0    11011111                                               
 7816     76      0    11011111                                               
 7817     75      0    11011111                                               
 7818     74      0    11011111                                               
 7819     73      0    11011111                                               
 7820     7C      5    11011111                                               
 7821     7B      F    11011111                                               
 7822     7A      F    11011111                                               
 7823     79      F    11011111                                               
 7824     78      F    11011111                                               
 7825     77      F    11011111                                               
 7826     76      3    11011111                                               
 7827     75      0    11011111                                               
 7828     74      0    11011111                                               
 7829     73      0    11011111                                               
 7830     7C      0    11011111                                               
 7831     7B      0    11011111                                               
 7832     7A      0    10011111                                               
 7833     79      0    10011111                                               
 7834     78      0    10011111                                               
 7835     77      0    10011111                                               
 7836     76      0    10011111                                               
 7837     75      4    10011111                                               
 7838     74      4    10011111                                               
 7839     73      4    10011111                                               
 7840     7C      F    10101111                                               
 7841     7B      F    10101111                                               
 7842     7A      F    10101111                                               
 7843     79      F    10101111                                               
 7844     78      F    10101111                                               
 7845     77      F    11101111                                               
 7846     76      3    11101111                                               
 7847     75      0    11101111                                               
 7848     74      0    11101111                                               
 7849     73      0    11101111                                               
 7850     7E      0    11101111                                               
 7851     7D      0    11101111                                               
 7852     7C      0    11101111                                               
 7853     7B      0    11101111                                               
 7854     7A      0    11101111                                               
 7855     79      0    11101111                                               
 7856     78      0    11101111                                               
 7857     77      0    11101111                                               
 7858     76      0    11101111                                               
 7859     75      4    11101111                                               
 7860     74      4    11101111                                               
 7861     73      4    11101111                                               
 7862     7C      F    10011111                                               
 7863     7B      F    10011111                                               
 7864     7A      F    10011111                                               
 7865     79      F    10011111                                               
 7866     78      F    10011111                                               
 7867     77      F    10011111                                               
 7868     76      F    10011111                                               
 7869     75      F    10011111                                               
 7870     74      F    10011111                                               
 7871     73      F    10011111                                               
 7872     7E      0    10011111                                               
 7873     7D      0    10011111                                               
 7874     7C      0    10011111                                               
 7875     7B      0    10011111                                               
 7876     7A      0    10011111                                               
 7877     79      0    10011111                                               
 7878     78      0    11011111                                               
 7879     77      0    11011111                                               
 7880     76      0    11011111                                               
 7881     75      0    11011111                                               
 7882     74      0    11011111                                               
 7883     73      0    11011111                                               
 7884     7C      5    10011111                                               
 7885     7B      F    10011111                                               
 7886     7A      F    10011111                                               
 7887     79      F    10011111                                               
 7888     78      F    10011111                                               
 7889     77      8    10011111                                               
 7890     76      0    10011111                                               
 7891     75      0    10011111                                               
 7892     74      0    10011111                                               
 7893     73      0    10011111                                               
 7894     7C      0    11011111                                               
 7895     7B      0    11011111                                               
 7896     7A      0    11011111                                               
 7897     79      0    11011111                                               
