 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 7390     7A      F    1101111                                                
 7391     79      F    1101111                                                
 7392     78      F    1101111                                                
 7393     77      8    1101111                                                
 7394     76      0    1101111                                                
 7395     75      0    1101111                                                
 7396     74      0    1101111                                                
 7397     73      0    1101111                                                
 7398     7E      0    1101111                                                
 7399     7D      0    1101111                                                
 7400     7C      0    1101111                                                
 7401     7B      0    1101111                                                
 7402     7A      0    1101111                                                
 7403     79      0    1101111                                                
 7404     78      0    1101111                                                
 7405     77      0    1101111                                                
 7406     76      4    1101111                                                
 7407     75      4    1101111                                                
 7408     74      4    1101111                                                
 7409     73      4    1101111                                                
 7410     7C      F    1011111                                                
 7411     7B      F    1011111                                                
 7412     7A      F    1011111                                                
 7413     79      F    1011111                                                
 7414     78      F    1011111                                                
 7415     77      F    1011111                                                
 7416     76      F    1011111                                                
 7417     75      F    1011111                                                
 7418     74      F    1011111                                                
 7419     73      F    1011111                                                
 7420     7E      0    1011111                                                
 7421     7D      0    1011111                                                
 7422     7C      0    1011111                                                
 7423     7B      0    1011111                                                
 7424     7A      0    1011111                                                
 7425     79      0    1011111                                                
 7426     78      0    1011111                                                
 7427     77      0    1011111                                                
 7428     76      0    1011111                                                
 7429     75      0    1011111                                                
 7430     74      0    1011111                                                
 7431     73      0    1011111                                                
 7432     7C      5    1011111                                                
 7433     7B      F    1011111                                                
 7434     7A      F    1011111                                                
 7435     79      F    1011111                                                
 7436     78      F    1011111                                                
 7437     77      8    1011111                                                
 7438     76      0    1011111                                                
 7439     75      0    1011111                                                
 7440     74      0    1011111                                                
 7441     73      0    1011111                                                
 7442     7C      0    1011111                                                
 7443     7B      0    1011111                                                
 7444     7A      0    1011111                                                
 7445     79      0    1011111                                                
 7446     78      0    1011111                                                
 7447     77      0    1011111                                                
 7448     76      4    1011111                                                
 7449     75      4    1011111                                                
 7450     74      4    1011111                                                
 7451     73      4    1011111                                                
 7452     7C      F    1101111                                                
 7453     7B      F    1101111                                                
 7454     7A      F    1101111                                                
 7455     79      F    1101111                                                
 7456     78      F    1101111                                                
 7457     77      8    1101111                                                
 7458     76      0    1101111                                                
 7459     75      0    1101111                                                
 7460     74      0    1101111                                                
 7461     73      0    1101111                                                
 7462     7E      0    1101111                                                
 7463     7D      0    1101111                                                
 7464     7C      0    1101111                                                
 7465     7B      0    1101111                                                
 7466     7A      0    1101111                                                
 7467     79      0    1101111                                                
 7468     78      0    1101111                                                
