 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE
 7840     00      F    0000000                                                
 7841     00      F    0000000                                                
 7842     00      F    0000000                                                
 7843     00      F    0000000                                                
 7844     00      F    0000000                                                
 7845     75      4    1101111                                                
 7846     74      0    1101111                                                
 7847     73      8    1101111                                                
 7848     7E      0    1101111                                                
 7849     7D      B    1101111                                                
 7850     7C      B    1101111                                                
 7851     7B      F    1101111                                                
 7852     7A      0    1101111                                                
 7853     79      0    1101111                                                
 7854     78      F    1101111                                                
 7855     77      8    1101111                                                
 7856     76      0    1101111                                                
 7857     75      0    1101111                                                
 7858     74      0    1101111                                                
 7859     73      0    1101111                                                
 7860     7E      0    1101111                                                
 7861     7D      0    1101111                                                
 7862     7C      0    1101111                                                
 7863     7B      0    1101111                                                
 7864     7A      0    1101111                                                
 7865     79      0    1101111                                                
 7866     78      0    1101111                                                
 7867     77      0    1101111                                                
 7868     76      4    1101111                                                
 7869     75      4    1101111                                                
 7870     74      4    1101111                                                
 7871     73      4    1101111                                                
 7872     7E      A    1011111                                                
 7873     7D      A    1011111                                                
 7874     7C      B    1011111                                                
 7875     7B      F    1011111                                                
 7876     7A      F    1011111                                                
 7877     79      F    1011111                                                
 7878     78      F    1011111                                                
 7879     77      F    1011111                                                
 7880     76      F    1011111                                                
 7881     75      F    1011111                                                
 7882     74      F    1011111                                                
 7883     73      F    1011111                                                
 7884     7E      0    1011111                                                
 7885     7D      0    1011111                                                
 7886     7C      0    1011111                                                
 7887     7B      0    1011111                                                
 7888     7A      0    1011111                                                
 7889     79      0    1011111                                                
 7890     78      0    1011111                                                
 7891     77      0    1011111                                                
 7892     76      0    1011111                                                
 7893     75      0    1011111                                                
 7894     74      0    1011111                                                
 7895     73      0    1011111                                                
 7896     7E      B    1101111                                                
 7897     7D      B    1101111                                                
 7898     7C      B    1101111                                                
 7899     7B      F    1101111                                                
 7900     7A      0    1101111                                                
 7901     79      0    1101111                                                
 7902     78      F    1101111                                                
 7903     77      8    1101111                                                
 7904     76      0    1101111                                                
 7905     75      0    1101111                                                
 7906     74      0    1101111                                                
 7907     73      0    1101111                                                
 7908     7E      0    1101111                                                
 7909     7D      0    1101111                                                
 7910     7C      0    1101111                                                
 7911     7B      0    1101111                                                
 7912     7A      0    1101111                                                
 7913     79      0    1101111                                                
 7914     78      0    1101111                                                
 7915     77      0    1101111                                                
 7916     76      4    1101111                                                
 7917     75      4    1101111                                                
 7918     74      4    1101111                                                
 7919     73      4    1101111                                                
 7920     7E      B    1011111                                                
 7921     7D      B    1011111                                                
 7922     7C      B    1011111                                                
 7923     7B      F    1011111                                                
 7924     7A      F    1011111                                                
 7925     79      F    1011111                                                
 7926     78      F    1011111                                                
 7927     77      F    1011111                                                
 7928     76      F    1011111                                                
 7929     75      F    1011111                                                
 7930     74      F    1011111                                                
 7931     73      F    1011111                                                
 7932     7E      0    1011111                                                
 7933     7D      0    1011111                                                
 7934     7C      0    1011111                                                
 7935     7B      0    1011111                                                
 7936     7A      0    1011111                                                
 7937     79      0    1011111                                                
 7938     78      0    1011111                                                
 7939     77      0    1011111                                                
 7940     76      0    1011111                                                
 7941     75      0    1011111                                                
 7942     74      0    1011111                                                
 7943     73      0    1011111                                                
 7944     75      4    1101111                                                
 7945     74      0    1101111                                                
 7946     73      0    1101111                                                
 7947     7E      0    1101111                                                
 7948     7D      B    1101111                                                
 7949     7C      B    1101111                                                
 7950     7B      F    1101111                                                
 7951     7A      0    1101111                                                
 7952     79      0    1101111                                                
 7953     78      F    1101111                                                
 7954     77      8    1101111                                                
 7955     76      0    1101111                                                
 7956     75      0    1101111                                                
 7957     74      0    1101111                                                
 7958     73      0    1101111                                                
 7959     7E      0    1101111                                                
 7960     7D      0    1101111                                                
 7961     7C      0    1101111                                                
 7962     7B      0    1101111                                                
 7963     7A      0    1101111                                                
 7964     79      0    1101111                                                
 7965     78      0    1101111                                                
 7966     77      0    1101111                                                
 7967     76      4    1101111                                                
 7968     75      4    1101111                                                
 7969     74      4    1101111                                                
 7970     73      4    1101111                                                
 7971     7E      A    1011111                                                
 7972     7D      A    1011111                                                
 7973     7C      B    1011111                                                
 7974     7B      F    1011111                                                
 7975     7A      F    1011111                                                
 7976     79      F    1011111                                                
 7977     78      F    1011111                                                
 7978     77      F    1011111                                                
 7979     76      F    1011111                                                
 7980     75      F    1011111                                                
 7981     74      F    1011111                                                
 7982     73      F    1011111                                                
 7983     7E      0    1011111                                                
 7984     7D      0    1011111                                                
 7985     7C      0    1011111                                                
 7986     7B      0    1011111                                                
 7987     7A      0    1011111                                                
 7988     79      0    1011111                                                
 7989     78      0    1011111                                                
 7990     77      0    1011111                                                
 7991     76      0    1011111                                                
 7992     75      0    1011111                                                
 7993     74      0    1011111                                                
 7994     73      0    1011111                                                
 7995     7E      B    1101111                                                
 7996     7D      B    1101111                                                
 7997     7C      B    1101111                                                
 7998     7B      F    1101111                                                
 7999     7A      0    1101111                                                
 8000     79      0    1101111                                                
 8001     78      F    1101111                                                
 8002     77      8    1101111                                                
 8003     76      0    1101111                                                
 8004     75      0    1101111                                                
 8005     74      0    1101111                                                
 8006     73      0    1101111                                                
 8007     7E      0    1101111                                                
 8008     7D      0    1101111                                                
 8009     7C      0    1101111                                                
 8010     7B      0    1101111                                                
 8011     7A      0    1101111                                                
 8012     79      0    1101111                                                
 8013     78      0    1101111                                                
 8014     77      0    1101111                                                
 8015     76      4    1101111                                                
 8016     75      4    1101111                                                
 8017     74      4    1101111                                                
 8018     73      4    1101111                                                
 8019     7E      B    1011111                                                
 8020     7D      B    1011111                                                
 8021     7C      B    1011111                                                
 8022     7B      F    1011111                                                
 8023     7A      F    1011111                                                
 8024     79      F    1011111                                                
 8025     78      F    1011111                                                
 8026     77      F    1011111                                                
 8027     76      F    1011111                                                
 8028     75      F    1011111                                                
 8029     74      F    1011111                                                
 8030     73      F    1011111                                                
 8031     7E      0    1011111                                                
 8032     7D      0    1011111                                                
 8033     7C      0    1011111                                                
 8034     7B      0    1011111                                                
 8035     7A      0    1011111                                                
 8036     79      0    1011111                                                
 8037     78      0    1011111                                                
 8038     77      0    1011111                                                
 8039     76      0    1011111                                                
 8040     75      0    1011111                                                
 8041     74      0    1011111                                                
 8042     73      0    1011111                                                
 8043     75      0    1101111                                                
 8044     74      1    1101111                                                
 8045     73      1    1101111                                                
 8046     7E      2    1101111                                                
 8047     7D      B    1101111                                                
 8048     7C      B    1101111                                                
 8049     7B      F    1101111                                                
 8050     7A      0    1101111                                                
 8051     79      0    1101111                                                
 8052     78      F    1101111                                                
 8053     77      8    1101111                                                
 8054     76      0    1101111                                                
 8055     75      0    1101111                                                
 8056     74      0    1101111                                                
 8057     73      0    1101111                                                
 8058     7E      0    1101111                                                
 8059     7D      0    1101111                                                
 8060     7C      0    1101111                                                
 8061     7B      0    1101111                                                
 8062     7A      0    1101111                                                
 8063     79      0    1101111                                                
 8064     78      0    1101111                                                
 8065     77      0    1101111                                                
 8066     76      4    1101111                                                
 8067     75      4    1101111                                                
 8068     74      4    1101111                                                
 8069     73      4    1101111                                                
 8070     7E      B    1011111                                                
 8071     7D      B    1011111                                                
 8072     7C      B    1011111                                                
 8073     7B      F    1011111                                                
 8074     7A      F    1011111                                                
 8075     79      F    1011111                                                
 8076     78      F    1011111                                                
 8077     77      F    1011111                                                
 8078     76      F    1011111                                                
 8079     75      F    1011111                                                
 8080     74      F    1011111                                                
 8081     73      F    1011111                                                
 8082     7E      0    1011111                                                
 8083     7D      0    1011111                                                
 8084     7C      0    1011111                                                
 8085     7B      0    1011111                                                
 8086     7A      0    1011111                                                
 8087     79      0    1011111                                                
 8088     78      0    1011111                                                
 8089     77      0    1011111                                                
 8090     76      0    1011111                                                
 8091     75      0    1011111                                                
 8092     74      0    1011111                                                
 8093     73      0    1011111                                                
 8094     75      4    1101111                                                
 8095     74      4    1101111                                                
 8096     73      0    1101111                                                
 8097     7E      0    1101111                                                
 8098     7D      B    1101111                                                
 8099     7C      B    1101111                                                
 8100     7B      F    1101111                                                
 8101     7A      0    1101111                                                
 8102     79      0    1101111                                                
 8103     78      F    1101111                                                
 8104     77      8    1101111                                                
 8105     76      0    1101111                                                
 8106     75      0    1101111                                                
 8107     74      0    1101111                                                
 8108     73      0    1101111                                                
 8109     7E      0    1101111                                                
 8110     7D      0    1101111                                                
 8111     7C      0    1101111                                                
 8112     7B      0    1101111                                                
 8113     7A      0    1101111                                                
 8114     79      0    1101111                                                
 8115     78      0    1101111                                                
 8116     77      0    1101111                                                
 8117     76      4    1101111                                                
 8118     75      4    1101111                                                
 8119     74      4    1101111                                                
 8120     73      4    1101111                                                
 8121     7E      A    1011111                                                
 8122     7D      A    1011111                                                
 8123     7C      B    1011111                                                
 8124     7B      F    1011111                                                
 8125     7A      F    1011111                                                
 8126     79      F    1011111                                                
 8127     78      F    1011111                                                
 8128     77      F    1011111                                                
 8129     76      F    1011111                                                
 8130     75      F    1011111                                                
 8131     74      F    1011111                                                
 8132     73      F    1011111                                                
 8133     7E      0    1011111                                                
 8134     7D      0    1011111                                                
 8135     7C      0    1011111                                                
 8136     7B      0    1011111                                                
 8137     7A      0    1011111                                                
 8138     79      0    1011111                                                
 8139     78      0    1011111                                                
 8140     77      0    1011111                                                
 8141     76      0    1011111                                                
 8142     75      0    1011111                                                
 8143     74      0    1011111                                                
 8144     73      0    1011111                                                
 8145     7E      B    1101111                                                
 8146     7D      B    1101111                                                
 8147     7C      B    1101111                                                
 8148     7B      F    1101111                                                
 8149     7A      0    1101111                                                
 8150     79      0    1101111                                                
 8151     78      F    1101111                                                
 8152     77      8    1101111                                                
 8153     76      0    1101111                                                
