 STATE LISTING OF AQU MEM  
  POS         ADDR    DATA   CE    
 0000 T   7F      0    101000 1111                                            
 0001     7F      0    101000 1111                                            
 0002     7F      0    101000 1111                                            
 0003     7E      0    101100 1111                                            
 0004     7D      0    101100 1111                                            
 0005     7C      0    101100 1111                                            
 0006     7E      0    101100 1111                                            
 0007     7D      0    101100 1111                                            
 0008     7C      0    101100 1111                                            
 0009     7B      0    101100 1111                                            
 0010     7A      0    101100 1111                                            
 0011     79      0    101100 1111                                            
 0012     78      0    101100 1111                                            
 0013     77      0    101100 1111                                            
 0014     76      0    101100 1111                                            
 0015     75      0    101100 1111                                            
 0016     74      0    101100 1111                                            
 0017     73      0    101100 1111                                            
 0018     7E      0    101100 1111                                            
 0019     7D      0    101100 1111                                            
 0020     7C      0    101100 1111                                            
 0021     7B      0    101100 1111                                            
 0022     7A      0    101000 1111                                            
 0023     79      0    101000 1111                                            
 0024     78      0    101000 1111                                            
 0025     77      0    101000 1111                                            
 0026     76      0    101000 1111                                            
 0027     75      0    101000 1111                                            
 0028     74      0    101000 1111                                            
 0029     73      0    101000 1111                                            
 0030     7F      0    101010 1111                                            
 0031     7E      0    101010 1111                                            
 0032     7D      0    101010 1111                                            
 0033     7C      0    101010 1111                                            
 0034     7B      0    101010 1111                                            
 0035     7A      0    101010 1111                                            
 0036     79      4    101010 1111                                            
 0037     78      0    101010 1111                                            
 0038     77      A    101010 1111                                            
 0039     76      3    101010 1111                                            
 0040     75      1    101010 1111                                            
 0041     74      4    101010 1111                                            
 0042     73      0    101010 1111                                            
 0043     72      2    101010 1111                                            
 0044     71      0    101010 1111                                            
 0045     70      0    101010 1111                                            
 0046     7F      0    101010 1111                                            
 0047     7E      0    101010 1111                                            
 0048     7D      0    101010 1111                                            
 0049     7C      0    101010 1111                                            
 0050     7B      0    101010 1111                                            
 0051     7A      0    101110 1111                                            
 0052     79      0    101110 1111                                            
 0053     78      0    101110 1111                                            
 0054     77      0    101110 1111                                            
 0055     76      0    101110 1111                                            
 0056     74      0    101110 1111                                            
 0057     74      0    101110 1111                                            
 0058     74      0    101110 1111                                            
 0059     72      0    101110 1111                                            
 0060     71      0    101110 1111                                            
 0061     70      1    101110 1111                                            
 0062     7F      0    101111 1111                                            
 0063     7E      0    101111 1111                                            
 0064     7D      0    101111 1111                                            
 0065     7C      0    101111 1111                                            
 0066     7B      0    101111 1111                                            
 0067     7A      0    101111 1111                                            
 0068     79      4    101111 1111                                            
 0069     78      0    101111 1111                                            
 0070     70      E    101110 1111                                            
 0071     7F      0    101010 1111                                            
 0072     7E      0    101010 1111                                            
 0073     7D      0    101010 1111                                            
 0074     77      5    101010 1111                                            
 0075     76      0    101010 1111                                            
 0076     75      0    101010 1111                                            
 0077     41      F    101011 1111                                            
 0078     40      F    101011 1111                                            
 0079     7F      F    101110 1111                                            
 0080     7E      F    101110 1111                                            
 0081     7C      0    101110 1111                                            
 0082     7C      0    101110 1111                                            
 0083     7C      0    101110 1111                                            
 0084     7B      0    101110 1111                                            
 0085     7A      0    101110 1111                                            
 0086     79      0    101010 1111                                            
 0087     78      0    101010 1111                                            
 0088     77      0    101010 1111                                            
 0089     76      0    101010 1111                                            
 0090     75      8    101010 1111                                            
 0091     74      0    101010 1111                                            
 0092     7F      9    101010 1111                                            
 0093     7E      9    101010 1111                                            
 0094     7D      0    101010 1111                                            
 0095     7C      0    101010 1111                                            
 0096     7B      0    101010 1111                                            
 0097     7A      0    101010 1111                                            
 0098     79      1    101010 1111                                            
 0099     78      0    101010 1111                                            
 0100     77      0    101010 1111                                            
 0101     76      4    101010 1111                                            
 0102     74      0    101010 1111                                            
 0103     74      0    101010 1111                                            
 0104     74      0    101010 1111                                            
 0105     73      0    101010 1111                                            
 0106     72      3    101010 1111                                            
 0107     71      0    101010 1111                                            
 0108     70      0    101010 1111                                            
 0109     7F      0    101111 1111                                            
 0110     7E      0    101111 1111                                            
 0111     7D      0    101111 1111                                            
 0112     7C      0    101111 1111                                            
 0113     7B      0    101111 1111                                            
 0114     7A      1    101111 1111                                            
 0115     79      1    101111 1111                                            
 0116     78      0    101111 1111                                            
 0117     77      0    101111 1111                                            
 0118     76      4    101111 1111                                            
 0119     74      0    101111 1111                                            
 0120     74      0    101111 1111                                            
 0121     74      0    101111 1111                                            
 0122     73      0    101111 1111                                            
 0123     72      3    101111 1111                                            
 0124     71      0    101111 1111                                            
 0125     70      0    101111 1111                                            
 0126     72      0    101110 1111                                            
 0127     78      F    101001 1111                                            
 0128     7F      0    101101 1111                                            
 0129     7A      F    101101 1111                                            
 0130     74      F    101101 1111                                            
 0131     70      F    101101 1111                                            
 0132     7F      1    101011 1111                                            
 0133     7E      5    101011 1111                                            
 0134     7D      4    101011 1111                                            
 0135     7C      4    101011 1111                                            
 0136     7B      0    101011 1111                                            
 0137     7A      4    101011 1111                                            
 0138     79      3    101011 1111                                            
 0139     78      4    101011 1111                                            
 0140     76      5    101111 1111                                            
 0141     76      5    101111 1111                                            
 0142     76      5    101111 1111                                            
 0143     75      F    101111 1111                                            
 0144     74      0    101111 1111                                            
 0145     73      F    101111 1111                                            
 0146     72      4    101011 1111                                            
 0147     71      0    101011 1111                                            
 0148     70      3    101011 1111                                            
 0149     6F      8    101111 1111                                            
 0150     6E      1    101111 1111                                            
 0151     6D      F    101011 1111                                            
 0152     6C      0    101011 1111                                            
 0153     6F      F    101111 1111                                            
 0154     6E      F    101111 1111                                            
 0155     7C      0    101101 1111                                            
 0156     7B      0    101101 1111                                            
 0157     7A      0    101101 1111                                            
 0158     79      0    101101 1111                                            
 0159     78      0    101101 1111                                            
 0160     77      0    101101 1111                                            
 0161     76      0    101101 1111                                            
 0162     75      0    101101 1111                                            
 0163     74      0    101101 1111                                            
 0164     73      0    101101 1111                                            
 0165     7C      F    101001 1111                                            
 0166     7B      F    101001 1111                                            
 0167     7A      F    101001 1111                                            
 0168     79      F    101001 1111                                            
 0169     78      F    101001 1111                                            
 0170     77      F    101001 1111                                            
 0171     76      F    101001 1111                                            
 0172     75      F    101001 1111                                            
 0173     74      F    101001 1111                                            
 0174     73      F    101001 1111                                            
 0175     7C      0    101001 1111                                            
 0176     7B      0    101001 1111                                            
 0177     7A      0    101001 1111                                            
 0178     79      0    101001 1111                                            
 0179     78      0    101001 1111                                            
 0180     77      0    101001 1111                                            
 0181     76      0    101001 1111                                            
 0182     75      0    101001 1111                                            
 0183     74      0    101001 1111                                            
 0184     73      0    101001 1111                                            
 0185     7C      F    101101 1111                                            
 0186     7B      F    101101 1111                                            
 0187     7A      F    101101 1111                                            
 0188     79      F    101101 1111                                            
 0189     78      F    101101 1111                                            
 0190     77      F    101101 1111                                            
 0191     76      F    101101 1111                                            
 0192     75      F    101101 1111                                            
 0193     74      F    101101 1111                                            
 0194     73      F    101101 1111                                            
 0195     7C      F    101110 1111                                            
 0196     7B      F    101110 1111                                            
 0197     7A      F    101110 1111                                            
 0198     79      F    101110 1111                                            
 0199     78      F    101110 1111                                            
